Date/Time (AEST),Hs (m),Hmax (m),Tz (s),Tp (s),Peak Direction (degrees),SST (degrees C)
2024-01-01T00:00,1.524,2.565,4.835,7.407,174.95,26.410
2024-01-01T00:30,1.764,2.896,4.883,7.407,163.17,26.410
2024-01-01T01:00,1.756,3.264,4.796,7.692,162.47,26.410
2024-01-01T01:30,1.753,2.782,4.815,8.696,151.39,26.360
2024-01-01T02:00,1.724,3.031,4.973,7.407,146.65,26.320
2024-01-01T02:30,1.874,3.293,5.229,7.407,151.75,26.320
2024-01-01T03:00,1.877,3.442,5.443,8.333,161.33,26.320
2024-01-01T03:30,1.851,2.968,5.305,7.407,154.21,26.270
2024-01-01T04:00,1.864,2.777,5.561,7.692,158.95,26.270
2024-01-01T04:30,1.825,3.191,5.293,8.000,159.31,26.270
2024-01-01T05:00,1.881,3.356,5.213,8.000,154.56,26.270
2024-01-01T05:30,1.933,2.918,5.775,6.897,154.29,26.270
2024-01-01T06:00,1.899,3.026,5.563,7.692,149.55,26.220
2024-01-01T06:30,1.811,2.978,5.354,7.692,144.89,26.270
2024-01-01T07:00,1.850,3.223,5.343,7.407,150.60,26.220
2024-01-01T07:30,2.008,3.301,5.469,7.692,150.43,26.220
2024-01-01T08:00,1.907,3.092,5.595,7.407,143.66,26.130
2024-01-01T08:30,2.035,3.162,5.446,8.333,149.81,26.030
2024-01-01T09:00,1.956,3.448,5.176,10.000,169.33,26.130
2024-01-01T09:30,1.879,3.257,5.096,7.407,142.16,26.130
2024-01-01T10:00,1.894,3.279,5.343,7.407,139.61,26.130
2024-01-01T10:30,2.089,4.078,5.033,7.692,139.09,26.130
2024-01-01T11:00,2.119,3.597,5.437,8.333,145.42,26.170
2024-01-01T11:30,1.905,3.247,5.377,7.143,139.97,26.170
2024-01-01T12:00,2.071,3.260,5.317,8.333,134.43,26.130
2024-01-01T12:30,2.102,3.474,4.953,7.407,135.31,26.130
2024-01-01T13:00,2.297,3.979,5.349,7.692,133.64,26.130
2024-01-01T13:30,2.247,4.127,5.513,7.143,134.60,26.130
2024-01-01T14:00,2.058,3.440,5.291,7.143,138.47,26.130
2024-01-01T14:30,2.018,4.033,5.017,7.143,133.02,26.130
2024-01-01T15:00,2.037,3.628,5.475,7.407,141.11,26.130
2024-01-01T15:30,2.046,3.313,5.317,7.143,129.33,26.130
2024-01-01T16:00,1.966,3.114,5.350,7.143,129.86,26.130
2024-01-01T16:30,2.036,3.333,5.195,7.407,123.79,26.130
2024-01-01T17:00,2.035,3.200,4.992,7.143,137.50,26.130
2024-01-01T17:30,2.091,3.415,5.342,7.143,132.93,26.030
2024-01-01T18:00,2.081,3.922,5.456,7.407,132.40,26.030
2024-01-01T18:30,2.075,3.429,5.456,7.407,133.81,26.030
2024-01-01T19:00,1.978,3.237,5.348,7.692,138.82,26.030
2024-01-01T19:30,2.067,4.154,5.571,8.000,135.31,26.030
2024-01-01T20:00,2.022,3.538,5.456,7.407,131.09,26.030
2024-01-01T20:30,2.042,3.734,5.479,7.692,132.05,25.990
2024-01-01T21:00,2.047,3.177,5.622,7.692,139.88,25.990
2024-01-01T21:30,2.097,3.752,5.513,7.692,132.14,25.940
2024-01-01T22:00,2.113,3.103,5.396,7.692,135.75,25.940
2024-01-01T22:30,1.996,3.218,5.404,7.692,139.53,25.890
2024-01-01T23:00,2.240,3.863,5.499,7.407,128.10,25.890
2024-01-01T23:30,2.293,4.293,5.618,7.692,132.84,25.890
2024-01-02T00:00,2.156,3.459,5.608,8.000,130.91,25.890
2024-01-02T00:30,2.269,3.262,5.898,8.333,121.06,25.840
2024-01-02T01:00,2.269,3.776,5.639,7.407,129.42,25.800
2024-01-02T01:30,2.266,3.618,5.609,7.407,120.89,25.800
2024-01-02T02:00,2.114,3.379,5.376,8.000,127.22,25.800
2024-01-02T02:30,2.252,4.149,5.556,7.692,133.55,25.750
2024-01-02T03:00,2.144,3.523,5.479,8.000,118.87,25.750
2024-01-02T03:30,2.188,3.434,5.717,6.897,111.92,25.750
2024-01-02T04:00,2.310,3.353,5.793,8.000,116.84,25.750
2024-01-02T04:30,2.136,3.256,5.496,7.692,116.93,25.750
2024-01-02T05:00,2.420,4.277,5.709,7.143,113.42,25.750
2024-01-02T05:30,2.425,4.447,5.462,7.407,105.06,25.700
2024-01-02T06:00,2.466,3.757,5.734,7.143,113.42,25.700
2024-01-02T06:30,2.571,4.178,5.624,7.692,119.04,25.660
2024-01-02T07:00,2.485,4.033,5.456,8.000,102.69,25.660
2024-01-02T07:30,2.535,4.336,5.759,8.000,101.90,25.660
2024-01-02T08:00,2.708,4.842,5.900,8.000,104.89,25.610
2024-01-02T08:30,2.747,5.459,5.513,7.407,111.39,25.610
2024-01-02T09:00,2.814,5.051,5.578,7.692,110.69,25.610
2024-01-02T09:30,2.910,4.919,5.639,7.692,107.26,25.610
2024-01-02T10:00,2.950,4.299,5.861,8.333,114.56,25.560
2024-01-02T10:30,3.217,5.022,6.438,8.000,116.93,25.560
2024-01-02T11:00,3.003,4.725,5.868,8.000,104.10,25.560
2024-01-02T11:30,3.093,5.128,5.810,8.696,111.75,25.520
2024-01-02T12:00,3.178,6.472,5.961,8.000,109.55,25.470
2024-01-02T12:30,3.150,5.042,5.879,8.000,121.42,25.470
2024-01-02T13:00,3.003,4.961,5.954,8.696,110.69,25.520
2024-01-02T13:30,3.239,5.059,6.091,8.696,107.53,25.520
2024-01-02T14:00,3.388,5.292,6.340,8.333,111.48,25.520
2024-01-02T14:30,3.107,4.296,6.157,8.333,110.95,25.520
2024-01-02T15:00,2.939,4.732,6.090,8.333,112.27,25.520
2024-01-02T15:30,3.281,5.505,6.169,8.696,111.83,25.520
2024-01-02T16:00,2.985,5.220,6.181,8.696,113.06,25.520
2024-01-02T16:30,3.167,5.406,6.226,8.333,109.90,25.520
2024-01-02T17:00,3.060,5.777,6.113,8.696,105.68,25.520
2024-01-02T17:30,3.136,4.738,6.187,8.696,98.56,25.470
2024-01-02T18:00,3.096,5.043,5.989,8.000,109.02,25.470
2024-01-02T18:30,2.925,5.660,5.928,8.333,101.72,25.470
2024-01-02T19:00,3.000,4.932,6.042,7.692,106.82,25.420
2024-01-02T19:30,3.103,6.183,5.954,8.333,97.59,25.420
2024-01-02T20:00,2.940,5.260,5.862,8.333,106.56,25.380
2024-01-02T20:30,2.976,5.096,5.961,8.000,106.21,25.330
2024-01-02T21:00,2.751,4.365,5.745,8.333,99.53,25.330
2024-01-02T21:30,2.867,5.337,5.750,7.692,101.46,25.330
