Date/Time (AEST),Hs (m),Hmax (m),Tz (s),Tp (s),Peak Direction (degrees),SST (degrees C)
2022-01-01T00:00,2.477,4.110,6.136,8.230,90.00,25.750
2022-01-01T00:30,2.259,3.240,5.871,8.179,98.00,25.750
2022-01-01T01:00,2.268,4.280,5.752,8.174,87.00,25.800
2022-01-01T01:30,2.452,3.970,5.987,8.719,80.00,25.800
2022-01-01T02:00,2.260,3.514,5.824,8.654,90.00,25.750
2022-01-01T02:30,2.386,3.770,6.160,8.895,90.00,25.750
2022-01-01T03:00,2.462,4.490,6.032,8.730,84.00,25.800
2022-01-01T03:30,2.321,3.640,6.110,8.255,80.00,25.750
2022-01-01T04:00,2.481,4.742,6.230,8.586,83.00,25.750
2022-01-01T04:30,2.292,4.010,5.966,8.589,83.00,25.750
2022-01-01T05:00,2.393,4.120,6.250,7.865,91.00,25.750
2022-01-01T05:30,2.376,4.000,5.991,8.612,92.00,25.750
2022-01-01T06:00,2.493,3.850,6.348,8.619,84.00,25.750
2022-01-01T06:30,2.557,4.870,6.104,8.840,77.00,25.750
2022-01-01T07:00,2.495,4.618,6.035,9.088,81.00,25.750
2022-01-01T07:30,2.438,3.660,6.216,8.472,84.00,25.750
2022-01-01T08:00,2.477,4.660,6.447,8.554,83.00,25.750
2022-01-01T08:30,2.728,4.110,6.696,8.970,92.00,25.750
2022-01-01T09:00,2.550,4.380,6.618,9.367,84.00,25.750
2022-01-01T09:30,2.530,3.670,6.410,9.140,83.00,25.750
2022-01-01T10:00,2.592,4.360,6.688,9.409,84.00,25.750
2022-01-01T10:30,2.789,4.980,6.733,9.031,78.00,25.800
2022-01-01T11:00,2.570,4.210,6.499,9.687,84.00,25.800
2022-01-01T11:30,2.712,4.188,6.714,9.012,85.00,25.800
2022-01-01T12:00,2.649,4.060,6.658,9.878,83.00,25.850
2022-01-01T12:30,2.889,4.670,7.011,8.907,84.00,25.800
2022-01-01T13:00,2.687,4.650,6.711,9.726,78.00,25.850
2022-01-01T13:30,2.565,4.010,6.612,9.192,84.00,25.850
2022-01-01T14:00,2.794,4.750,6.773,9.695,83.00,25.800
2022-01-01T14:30,2.586,4.630,6.640,10.015,73.00,25.800
2022-01-01T15:00,2.822,4.763,6.519,9.253,66.00,25.800
