Date/Time (AEST),Hs (m),Hmax (m),Tz (s),Tp (s),Peak Direction (degrees),SST (degrees C)
2023-01-01T00:00,2.126,3.100,6.688,10.737,85.00,25.100
2023-01-01T00:30,2.049,2.900,6.595,10.191,90.00,25.100
2023-01-01T01:00,2.126,3.460,6.856,11.378,80.00,25.100
2023-01-01T01:30,2.105,3.330,6.637,10.748,94.00,25.050
2023-01-01T02:00,1.876,3.020,6.286,10.223,84.00,25.050
2023-01-01T02:30,1.982,2.960,6.586,10.382,84.00,25.050
2023-01-01T03:00,2.069,3.070,6.398,10.807,90.00,25.050
2023-01-01T03:30,2.078,3.520,6.564,10.140,91.00,25.050
2023-01-01T04:00,2.028,3.390,6.959,10.828,92.00,25.050
2023-01-01T04:30,1.877,3.340,6.518,10.726,85.00,25.050
2023-01-01T05:00,2.076,3.620,7.144,11.422,87.00,25.050
2023-01-01T05:30,1.875,3.610,6.759,10.969,87.00,25.050
2023-01-01T06:00,2.036,3.010,6.876,11.282,77.00,25.050
2023-01-01T06:30,1.844,3.420,6.390,11.378,88.00,25.050
2023-01-01T07:00,2.046,3.190,7.126,10.802,80.00,25.050
2023-01-01T07:30,1.934,3.810,6.813,11.571,83.00,25.100
2023-01-01T08:00,1.847,2.780,6.552,10.530,84.00,25.100
2023-01-01T08:30,1.832,2.840,6.740,11.218,81.00,25.100
2023-01-01T09:00,1.843,3.040,6.832,11.519,85.00,25.150
2023-01-01T09:30,1.820,3.070,6.800,11.508,92.00,25.150
2023-01-01T10:00,1.819,2.890,6.626,11.335,81.00,25.200
2023-01-01T10:30,1.754,2.710,6.270,10.437,84.00,25.200
2023-01-01T11:00,1.941,3.380,7.228,11.400,83.00,25.250
2023-01-01T11:30,1.937,2.880,6.987,10.669,90.00,25.250
2023-01-01T12:00,1.676,2.750,6.172,10.921,87.00,25.300
2023-01-01T12:30,1.730,2.900,6.674,11.351,95.00,25.300
2023-01-01T13:00,1.823,2.920,7.067,10.776,84.00,25.400
2023-01-01T13:30,1.935,3.250,7.144,11.169,94.00,25.400
2023-01-01T14:00,1.822,2.710,6.935,10.883,92.00,25.400
2023-01-01T14:30,1.791,3.140,6.694,11.373,81.00,25.400
2023-01-01T15:00,1.890,2.520,6.976,11.396,87.00,25.350
2023-01-01T15:30,1.878,3.450,6.914,10.851,88.00,25.350
2023-01-01T16:00,2.024,3.550,7.101,11.411,83.00,25.350
2023-01-01T16:30,1.909,3.190,7.079,10.490,85.00,25.300
2023-01-01T17:00,1.757,2.820,6.872,11.388,80.00,25.300
2023-01-01T17:30,1.999,2.930,7.279,11.290,90.00,25.250
2023-01-01T18:00,1.828,2.890,6.938,11.236,81.00,25.200
2023-01-01T18:30,1.758,3.210,6.655,10.805,90.00,25.150
2023-01-01T19:00,1.940,3.390,6.874,11.202,87.00,25.150
2023-01-01T19:30,1.807,2.920,7.100,11.138,80.00,25.200
2023-01-01T20:00,1.776,2.930,6.942,11.387,83.00,25.150
2023-01-01T20:30,2.014,3.090,7.246,10.887,91.00,25.150
2023-01-01T21:00,1.955,3.430,6.894,10.742,85.00,25.150
2023-01-01T21:30,2.078,4.610,7.066,10.795,75.00,25.150
2023-01-01T22:00,1.931,3.340,6.904,10.300,83.00,25.150
2023-01-01T22:30,2.065,3.540,7.100,11.492,87.00,25.150
2023-01-01T23:00,2.092,3.410,7.095,10.267,90.00,25.150
2023-01-01T23:30,2.046,3.040,6.979,10.876,83.00,25.150
2023-01-02T00:00,1.949,3.420,6.670,11.414,84.00,25.150
2023-01-02T00:30,2.127,3.760,6.937,9.953,81.00,25.150
2023-01-02T01:00,2.163,3.590,6.868,10.389,83.00,25.150
2023-01-02T01:30,1.960,3.470,6.528,10.795,84.00,25.100
2023-01-02T02:00,1.918,2.760,6.649,10.806,90.00,25.100
2023-01-02T02:30,1.989,3.310,6.839,11.201,81.00,25.100
2023-01-02T03:00,2.111,3.250,7.289,10.685,88.00,25.100
2023-01-02T03:30,1.992,3.430,6.980,12.644,88.00,25.100
2023-01-02T04:00,2.046,3.430,7.374,12.202,87.00,25.100
2023-01-02T04:30,1.953,3.300,7.197,11.769,85.00,25.050
2023-01-02T05:00,2.141,3.700,7.526,11.885,80.00,25.050
2023-01-02T05:30,2.100,3.700,7.166,11.974,81.00,25.050
2023-01-02T06:00,2.214,4.070,7.251,10.890,84.00,25.050
2023-01-02T06:30,1.884,3.500,7.139,10.286,83.00,25.050
2023-01-02T07:00,2.024,3.120,7.054,10.324,87.00,25.100
2023-01-02T07:30,2.254,3.810,7.832,13.696,85.00,25.100
2023-01-02T08:00,1.959,3.290,7.487,13.642,90.00,25.100
2023-01-02T08:30,2.203,3.700,7.514,13.646,87.00,25.100
2023-01-02T09:00,2.120,3.330,7.643,12.908,90.00,25.100
2023-01-02T09:30,2.172,4.180,7.564,13.373,81.00,25.150
2023-01-02T10:00,2.464,4.130,8.354,13.128,84.00,25.200
2023-01-02T10:30,2.289,3.840,8.059,12.359,78.00,25.200
2023-01-02T11:00,2.343,3.730,8.740,12.133,80.00,25.200
2023-01-02T11:30,2.428,3.470,8.415,12.135,90.00,25.250
2023-01-02T12:00,2.440,3.580,8.585,13.333,83.00,25.300
2023-01-02T12:30,2.455,4.180,8.330,13.569,84.00,25.350
2023-01-02T13:00,2.227,3.740,7.822,13.649,81.00,25.350
2023-01-02T13:30,2.377,3.680,8.266,13.484,73.00,25.350
2023-01-02T14:00,2.000,3.100,7.041,12.874,87.00,25.350
2023-01-02T14:30,2.258,3.980,7.840,12.301,88.00,25.350
2023-01-02T15:00,2.075,3.290,7.738,12.821,84.00,25.350
2023-01-02T15:30,2.160,3.280,8.161,13.034,87.00,25.350
2023-01-02T16:00,2.517,4.230,8.700,12.705,77.00,25.350
2023-01-02T16:30,2.031,3.480,7.459,11.563,87.00,25.300
2023-01-02T17:00,2.266,3.690,8.686,12.857,81.00,25.300
2023-01-02T17:30,2.213,2.700,8.571,12.907,90.00,25.300
2023-01-02T18:00,1.898,3.440,7.422,11.548,87.00,25.250
2023-01-02T18:30,1.981,3.570,7.565,12.032,92.00,25.200
2023-01-02T19:00,2.224,3.300,8.347,12.078,95.00,25.200
2023-01-02T19:30,2.290,3.950,8.353,12.152,91.00,25.200
2023-01-02T20:00,2.398,3.280,9.143,12.047,90.00,25.200
2023-01-02T20:30,1.897,3.110,7.582,12.658,87.00,25.200
2023-01-02T21:00,2.028,3.330,7.764,11.902,92.00,25.200
2023-01-02T21:30,2.139,4.040,7.904,12.471,83.00,25.200
2023-01-02T22:00,1.919,3.700,7.938,12.153,90.00,25.150
2023-01-02T22:30,1.948,3.680,7.311,11.985,95.00,25.150
2023-01-02T23:00,2.102,3.240,7.460,11.664,94.00,25.200
2023-01-02T23:30,2.167,3.070,8.070,12.046,91.00,25.150
2023-01-03T00:00,2.191,3.650,7.998,12.063,85.00,25.150
2023-01-03T00:30,2.038,3.550,7.814,12.144,102.00,25.150
2023-01-03T01:00,2.349,3.910,8.693,12.042,88.00,25.200
2023-01-03T01:30,2.102,3.430,8.115,11.413,94.00,25.150
2023-01-03T02:00,1.956,3.180,7.703,11.717,94.00,25.150
2023-01-03T02:30,1.951,3.010,7.922,12.164,87.00,25.150
2023-01-03T03:00,2.208,3.580,8.349,11.651,92.00,25.150
2023-01-03T03:30,2.191,3.040,8.505,12.021,98.00,25.150
2023-01-03T04:00,2.114,4.440,8.407,10.331,98.00,25.100
2023-01-03T04:30,2.063,3.350,8.025,12.780,101.00,25.100
2023-01-03T05:00,1.997,3.860,8.107,12.108,85.00,25.100
2023-01-03T05:30,1.971,3.160,8.350,11.449,91.00,25.100
2023-01-03T06:00,2.000,3.240,7.968,12.099,85.00,25.100
2023-01-03T06:30,2.064,3.490,8.311,12.122,94.00,25.100
2023-01-03T07:00,2.003,2.880,8.494,12.088,91.00,25.150
2023-01-03T07:30,1.948,2.790,8.263,12.159,87.00,25.150
2023-01-03T08:00,1.862,3.130,8.157,11.753,91.00,25.200
2023-01-03T08:30,1.880,2.630,8.365,11.608,95.00,25.250
2023-01-03T09:00,1.911,3.230,8.494,12.229,87.00,25.450
2023-01-03T09:30,1.869,2.830,8.438,11.488,90.00,25.700
2023-01-03T10:00,1.948,2.970,8.496,12.241,87.00,26.200
2023-01-03T10:30,1.738,3.130,8.160,12.205,88.00,26.300
2023-01-03T11:00,1.879,2.710,8.610,11.531,87.00,26.100
2023-01-03T11:30,1.802,2.890,8.562,12.246,91.00,26.200
2023-01-03T12:00,1.814,2.960,8.590,11.579,87.00,26.100
2023-01-03T12:30,1.750,2.960,8.332,12.858,85.00,26.200
2023-01-03T13:00,1.762,2.740,8.336,12.121,88.00,26.200
2023-01-03T13:30,1.762,3.320,8.308,12.133,84.00,26.100
2023-01-03T14:00,1.726,2.480,8.113,12.161,98.00,26.050
2023-01-03T14:30,1.652,2.580,8.196,11.361,81.00,26.100
2023-01-03T15:00,1.781,3.280,8.145,12.802,87.00,26.000
2023-01-03T15:30,1.594,2.920,7.499,12.195,94.00,25.900
2023-01-03T16:00,1.830,3.120,8.114,11.620,94.00,25.900
2023-01-03T16:30,1.883,2.970,8.477,12.072,92.00,25.800
2023-01-03T17:00,1.743,2.640,7.649,12.113,95.00,25.750
2023-01-03T17:30,1.698,2.870,8.229,12.035,99.00,25.650
2023-01-03T18:00,1.548,3.310,7.294,11.464,94.00,25.550
2023-01-03T18:30,1.740,2.900,8.256,11.618,92.00,25.550
2023-01-03T19:00,1.796,2.840,8.407,12.096,90.00,25.550
2023-01-03T19:30,1.816,2.790,8.421,11.510,97.00,25.500
2023-01-03T20:00,1.757,2.620,8.254,11.276,92.00,25.500
2023-01-03T20:30,1.833,2.890,8.407,11.092,102.00,25.500
2023-01-03T21:00,1.801,2.900,8.252,12.098,94.00,25.450
2023-01-03T21:30,1.708,3.160,8.022,12.133,91.00,25.450
2023-01-03T22:00,1.995,3.130,8.625,10.909,95.00,25.450
2023-01-03T22:30,1.998,3.340,8.180,11.468,97.00,25.450
2023-01-03T23:00,1.883,2.610,8.833,11.513,91.00,25.400
2023-01-03T23:30,1.682,2.530,8.408,10.809,91.00,25.400
2023-01-04T00:00,1.735,2.980,8.119,10.933,92.00,25.400
2023-01-04T00:30,1.791,3.120,8.336,11.599,94.00,25.350
2023-01-04T01:00,2.114,3.180,9.049,12.038,88.00,25.350
2023-01-04T01:30,1.986,2.770,8.620,11.657,92.00,25.350
2023-01-04T02:00,1.767,2.580,8.325,11.514,95.00,25.350
2023-01-04T02:30,1.815,2.880,8.511,11.064,99.00,25.350
2023-01-04T03:00,1.786,2.710,8.260,11.566,97.00,25.350
2023-01-04T03:30,1.854,3.490,8.481,12.195,94.00,25.350
2023-01-04T04:00,1.854,3.360,8.748,11.985,98.00,25.350
2023-01-04T04:30,1.675,2.610,8.496,11.540,101.00,25.300
2023-01-04T05:00,1.626,2.450,8.765,11.514,104.00,25.300
2023-01-04T05:30,1.611,2.680,8.491,9.799,98.00,25.300
2023-01-04T06:00,1.572,2.650,8.952,11.306,97.00,25.300
2023-01-04T06:30,1.599,2.760,8.674,12.108,106.00,25.300
2023-01-04T07:00,1.739,2.670,9.227,11.717,102.00,25.300
2023-01-04T07:30,1.715,3.170,9.027,12.144,98.00,25.350
2023-01-04T08:00,1.546,2.350,8.298,11.358,98.00,25.500
2023-01-04T08:30,1.664,3.510,8.711,12.105,94.00,25.550
2023-01-04T09:00,1.592,2.440,8.397,10.230,99.00,25.650
2023-01-04T09:30,1.390,2.270,8.278,10.445,94.00,25.700
2023-01-04T10:00,1.579,2.530,8.122,9.761,92.00,25.750
2023-01-04T10:30,1.525,2.420,7.996,12.119,95.00,25.800
2023-01-04T11:00,1.491,2.510,7.619,12.766,97.00,25.750
2023-01-04T11:30,1.546,2.550,7.378,11.684,94.00,25.800
2023-01-04T12:00,1.492,2.740,7.168,12.163,101.00,25.800
2023-01-04T12:30,1.451,2.300,6.815,12.935,95.00,25.900
2023-01-04T13:00,1.426,2.480,6.916,12.065,99.00,25.900
2023-01-04T13:30,1.586,2.810,6.920,12.148,106.00,25.900
2023-01-04T14:00,1.351,2.400,6.218,12.122,104.00,25.950
2023-01-04T14:30,1.420,2.770,6.385,11.377,116.00,25.950
2023-01-04T15:00,1.408,2.540,5.973,12.256,106.00,25.900
2023-01-04T15:30,1.435,2.310,6.121,11.416,105.00,25.950
2023-01-04T16:00,1.364,2.080,5.943,12.813,104.00,25.900
2023-01-04T16:30,1.408,2.190,5.984,12.246,98.00,25.900
2023-01-04T17:00,1.381,2.620,5.706,12.172,115.00,25.850
2023-01-04T17:30,1.449,2.550,5.675,12.007,113.00,25.850
2023-01-04T18:00,1.334,2.133,5.212,11.571,116.00,25.850
2023-01-04T18:30,1.391,2.340,5.360,12.071,115.00,25.850
2023-01-04T19:00,1.574,3.030,5.798,12.006,111.00,25.850
2023-01-04T19:30,1.512,2.660,5.726,11.339,118.00,25.800
2023-01-04T20:00,1.416,2.080,5.375,11.382,111.00,25.750
2023-01-04T20:30,1.469,2.830,5.605,11.998,109.00,25.750
2023-01-04T21:00,1.432,2.240,5.303,10.875,119.00,25.700
2023-01-04T21:30,1.501,2.610,5.501,10.854,116.00,25.650
2023-01-04T22:00,1.487,2.570,5.510,11.444,116.00,25.650
2023-01-04T22:30,1.591,2.330,5.894,12.024,113.00,25.650
2023-01-04T23:00,1.439,2.450,5.644,11.615,109.00,25.700
2023-01-04T23:30,1.510,2.820,6.404,11.185,105.00,25.800
2023-01-05T00:00,1.548,2.550,6.417,11.457,105.00,25.800
2023-01-05T00:30,1.496,2.300,6.541,10.360,106.00,25.850
2023-01-05T01:00,1.544,2.730,6.670,11.443,106.00,25.850
2023-01-05T01:30,1.369,2.220,6.465,11.410,106.00,25.850
2023-01-05T02:00,1.361,2.170,6.548,10.131,101.00,25.850
2023-01-05T02:30,1.363,2.450,6.675,11.506,108.00,25.800
2023-01-05T03:00,1.294,2.100,6.064,10.250,101.00,25.800
2023-01-05T03:30,1.362,2.270,6.231,10.882,90.00,25.800
2023-01-05T04:00,1.429,2.870,6.071,10.890,91.00,25.800
2023-01-05T04:30,1.260,2.260,6.023,10.336,98.00,25.800
2023-01-05T05:00,1.267,2.250,6.071,9.279,95.00,25.750
2023-01-05T05:30,1.299,2.130,6.063,8.940,111.00,25.800
2023-01-05T06:00,1.215,2.100,6.173,11.242,109.00,25.750
2023-01-05T06:30,1.244,1.690,6.267,9.939,108.00,25.750
2023-01-05T07:00,1.282,2.120,6.238,10.809,109.00,25.750
2023-01-05T07:30,1.169,2.260,6.021,9.839,102.00,25.750
2023-01-05T08:00,1.061,1.830,6.147,10.304,104.00,25.700
2023-01-05T08:30,1.171,1.970,6.168,11.363,104.00,25.750
2023-01-05T09:00,1.087,1.710,6.414,10.936,104.00,25.750
2023-01-05T09:30,1.064,1.770,6.202,10.894,99.00,25.750
2023-01-05T10:00,1.114,2.240,6.563,10.063,94.00,25.800
2023-01-05T10:30,0.940,1.610,6.133,11.183,102.00,25.750
2023-01-05T11:00,1.090,1.680,6.663,10.868,101.00,25.750
2023-01-05T11:30,1.013,1.910,6.371,11.383,94.00,25.750
2023-01-05T12:00,1.073,1.630,6.394,10.901,98.00,25.800
2023-01-05T12:30,1.054,1.640,6.616,11.189,102.00,25.800
2023-01-05T13:00,1.093,1.930,7.132,10.771,91.00,25.800
2023-01-05T13:30,0.977,1.900,6.797,10.347,94.00,25.800
2023-01-05T14:00,0.994,1.650,6.712,8.941,94.00,25.800
2023-01-05T14:30,1.021,1.550,7.214,10.237,95.00,25.850
2023-01-05T15:00,1.010,1.660,6.986,10.273,92.00,25.850
2023-01-05T15:30,0.936,1.340,6.874,10.813,98.00,25.850
2023-01-05T16:00,0.949,1.620,6.801,10.837,105.00,25.850
2023-01-05T16:30,0.925,1.670,6.704,10.613,106.00,25.850
2023-01-05T17:00,0.907,1.430,6.550,10.784,94.00,25.850
2023-01-05T17:30,0.937,1.350,6.751,10.383,102.00,25.850
2023-01-05T18:00,0.972,1.370,6.952,10.819,116.00,25.800
2023-01-05T18:30,1.011,1.640,7.058,10.977,104.00,25.800
2023-01-05T19:00,0.880,1.460,6.357,11.362,102.00,25.800
2023-01-05T19:30,0.943,1.430,6.691,10.803,102.00,25.800
2023-01-05T20:00,0.925,1.510,6.306,9.748,108.00,25.750
2023-01-05T20:30,0.855,1.320,6.123,9.874,101.00,25.750
2023-01-05T21:00,0.812,1.650,6.196,11.074,111.00,25.750
2023-01-05T21:30,0.842,1.260,6.211,11.344,108.00,25.750
2023-01-05T22:00,0.929,1.550,6.451,10.611,104.00,25.700
2023-01-05T22:30,0.839,1.350,5.710,10.711,106.00,25.650
