Valor nulo: -9999.9	
Fecha (GMT)	Salinidad(psu)
2023 06 15 00	34.835
2023 06 15 01	34.835
2023 06 15 02	34.835
2023 06 15 03	34.835
2023 06 15 04	34.835
2023 06 15 05	34.835
2023 06 15 06	34.835
2023 06 15 07	34.835
2023 06 15 08	34.835
2023 06 15 09	34.835
2023 06 15 10	34.835
2023 06 15 11	34.835
2023 06 15 12	34.835
2023 06 15 13	34.835
2023 06 15 14	34.835
2023 06 15 15	34.835
2023 06 15 16	34.835
2023 06 15 17	34.835
2023 06 15 18	34.835
2023 06 15 19	34.835
2023 06 15 20	34.835
2023 06 15 21	34.835
2023 06 15 22	34.835
2023 06 15 23	34.835
2023 06 16 00	35.034
2023 06 16 01	35.034
2023 06 16 02	35.034
2023 06 16 03	35.034
2023 06 16 04	35.034
2023 06 16 05	35.034
2023 06 16 06	35.034
2023 06 16 07	35.034
2023 06 16 08	35.034
2023 06 16 09	35.034
2023 06 16 10	35.034
2023 06 16 11	35.034
2023 06 16 12	35.034
2023 06 16 13	35.034
2023 06 16 14	35.034
2023 06 16 15	35.034
2023 06 16 16	35.034
2023 06 16 17	35.034
2023 06 16 18	35.034
2023 06 16 19	35.034
2023 06 16 20	35.034
2023 06 16 21	35.034
2023 06 16 22	35.034
2023 06 16 23	35.034
2023 06 17 00	34.88
2023 06 17 01	34.88
2023 06 17 02	34.88
2023 06 17 03	34.88
2023 06 17 04	34.88
2023 06 17 05	34.88
2023 06 17 06	34.88
2023 06 17 07	34.88
2023 06 17 08	34.88
2023 06 17 09	34.88
2023 06 17 10	34.88
2023 06 17 11	34.88
2023 06 17 12	34.88
2023 06 17 13	34.88
2023 06 17 14	34.88
2023 06 17 15	34.88
2023 06 17 16	34.88
2023 06 17 17	34.88
2023 06 17 18	34.88
2023 06 17 19	34.88
2023 06 17 20	34.88
2023 06 17 21	34.88
2023 06 17 22	34.88
2023 06 17 23	34.88
2023 06 18 00	34.633
2023 06 18 01	34.633
2023 06 18 02	34.633
2023 06 18 03	34.633
2023 06 18 04	34.633
2023 06 18 05	34.633
2023 06 18 06	34.633
2023 06 18 07	34.633
2023 06 18 08	34.633
2023 06 18 09	34.633
2023 06 18 10	34.633
2023 06 18 11	34.633
2023 06 18 12	34.633
2023 06 18 13	34.633
2023 06 18 14	34.633
2023 06 18 15	34.633
2023 06 18 16	34.633
2023 06 18 17	34.633
2023 06 18 18	34.633
2023 06 18 19	34.633
2023 06 18 20	34.633
2023 06 18 21	34.633
2023 06 18 22	34.633
2023 06 18 23	34.633
2023 06 19 00	34.578
2023 06 19 01	34.578
2023 06 19 02	34.578
2023 06 19 03	34.578
2023 06 19 04	34.578
2023 06 19 05	34.578
2023 06 19 06	34.578
2023 06 19 07	34.578
2023 06 19 08	34.578
2023 06 19 09	34.578
2023 06 19 10	34.578
2023 06 19 11	34.578
2023 06 19 12	34.578
2023 06 19 13	34.578
2023 06 19 14	34.578
2023 06 19 15	34.578
2023 06 19 16	34.578
2023 06 19 17	34.578
2023 06 19 18	34.578
2023 06 19 19	34.578
2023 06 19 20	34.578
2023 06 19 21	34.578
2023 06 19 22	34.578
2023 06 19 23	34.578
2023 06 20 00	34.613
2023 06 20 01	34.613
2023 06 20 02	34.613
2023 06 20 03	34.613
2023 06 20 04	34.613
2023 06 20 05	34.613
2023 06 20 06	34.613
2023 06 20 07	34.613
2023 06 20 08	34.613
2023 06 20 09	34.613
2023 06 20 10	34.613
2023 06 20 11	34.613
2023 06 20 12	34.613
2023 06 20 13	34.613
2023 06 20 14	34.613
2023 06 20 15	34.613
2023 06 20 16	34.613
2023 06 20 17	34.613
2023 06 20 18	34.613
2023 06 20 19	34.613
2023 06 20 20	34.613
2023 06 20 21	34.613
2023 06 20 22	34.613
2023 06 20 23	34.613
2023 06 21 00	34.611
2023 06 21 01	34.611
2023 06 21 02	34.611
2023 06 21 03	34.611
2023 06 21 04	34.611
2023 06 21 05	34.611
2023 06 21 06	34.611
2023 06 21 07	34.611
2023 06 21 08	34.611
2023 06 21 09	34.611
2023 06 21 10	34.611
2023 06 21 11	34.611
2023 06 21 12	34.611
2023 06 21 13	34.611
2023 06 21 14	34.611
2023 06 21 15	34.611
2023 06 21 16	34.611
2023 06 21 17	34.611
2023 06 21 18	34.611
2023 06 21 19	34.611
2023 06 21 20	34.611
2023 06 21 21	34.611
2023 06 21 22	34.611
2023 06 21 23	34.611
2023 06 22 00	34.688
2023 06 22 01	34.688
2023 06 22 02	34.688
2023 06 22 03	34.688
2023 06 22 04	34.688
2023 06 22 05	34.688
2023 06 22 06	34.688
2023 06 22 07	34.688
2023 06 22 08	34.688
2023 06 22 09	34.688
2023 06 22 10	34.688
2023 06 22 11	34.688
2023 06 22 12	34.688
2023 06 22 13	34.688
2023 06 22 14	34.688
2023 06 22 15	34.688
2023 06 22 16	34.688
2023 06 22 17	34.688
2023 06 22 18	34.688
2023 06 22 19	34.688
2023 06 22 20	34.688
2023 06 22 21	34.688
2023 06 22 22	34.688
2023 06 22 23	34.688
2023 06 23 00	34.889
2023 06 23 01	34.889
2023 06 23 02	34.889
2023 06 23 03	34.889
2023 06 23 04	34.889
2023 06 23 05	34.889
2023 06 23 06	34.889
2023 06 23 07	34.889
2023 06 23 08	34.889
2023 06 23 09	34.889
2023 06 23 10	34.889
2023 06 23 11	34.889
2023 06 23 12	34.889
2023 06 23 13	34.889
2023 06 23 14	34.889
2023 06 23 15	34.889
2023 06 23 16	34.889
2023 06 23 17	34.889
2023 06 23 18	34.889
2023 06 23 19	34.889
2023 06 23 20	34.889
2023 06 23 21	34.889
2023 06 23 22	34.889
2023 06 23 23	34.889
2023 06 24 00	35.134
2023 06 24 01	35.134
2023 06 24 02	35.134
2023 06 24 03	35.134
2023 06 24 04	35.134
2023 06 24 05	35.134
2023 06 24 06	35.134
2023 06 24 07	35.134
2023 06 24 08	35.134
2023 06 24 09	35.134
2023 06 24 10	35.134
2023 06 24 11	35.134
2023 06 24 12	35.134
2023 06 24 13	35.134
2023 06 24 14	35.134
2023 06 24 15	35.134
2023 06 24 16	35.134
2023 06 24 17	35.134
2023 06 24 18	35.134
2023 06 24 19	35.134
2023 06 24 20	35.134
2023 06 24 21	35.134
2023 06 24 22	35.134
2023 06 24 23	35.134
2023 06 25 00	35.096
2023 06 25 01	35.096
2023 06 25 02	35.096
2023 06 25 03	35.096
2023 06 25 04	35.096
2023 06 25 05	35.096
2023 06 25 06	35.096
2023 06 25 07	35.096
2023 06 25 08	35.096
2023 06 25 09	35.096
2023 06 25 10	35.096
2023 06 25 11	35.096
2023 06 25 12	35.096
2023 06 25 13	35.096
2023 06 25 14	35.096
2023 06 25 15	35.096
2023 06 25 16	35.096
2023 06 25 17	35.096
2023 06 25 18	35.096
2023 06 25 19	35.096
2023 06 25 20	35.096
2023 06 25 21	35.096
2023 06 25 22	35.096
2023 06 25 23	35.096
2023 06 26 00	35.028
2023 06 26 01	35.028
2023 06 26 02	35.028
2023 06 26 03	35.028
2023 06 26 04	35.028
2023 06 26 05	35.028
2023 06 26 06	35.028
2023 06 26 07	35.028
2023 06 26 08	35.028
2023 06 26 09	35.028
2023 06 26 10	35.028
2023 06 26 11	35.028
2023 06 26 12	35.028
2023 06 26 13	35.028
2023 06 26 14	35.028
2023 06 26 15	35.028
2023 06 26 16	35.028
2023 06 26 17	35.028
2023 06 26 18	35.028
2023 06 26 19	35.028
2023 06 26 20	35.028
2023 06 26 21	35.028
2023 06 26 22	35.028
2023 06 26 23	35.028
2023 06 27 00	35.22
2023 06 27 01	35.22
2023 06 27 02	35.22
2023 06 27 03	35.22
2023 06 27 04	35.22
2023 06 27 05	35.22
2023 06 27 06	35.22
2023 06 27 07	35.22
2023 06 27 08	35.22
2023 06 27 09	35.22
2023 06 27 10	35.22
2023 06 27 11	35.22
2023 06 27 12	35.22
2023 06 27 13	35.22
2023 06 27 14	35.22
2023 06 27 15	35.22
2023 06 27 16	35.22
2023 06 27 17	35.22
2023 06 27 18	35.22
2023 06 27 19	35.22
2023 06 27 20	35.22
2023 06 27 21	35.22
2023 06 27 22	35.22
2023 06 27 23	35.22
2023 06 28 00	35.213
2023 06 28 01	35.213
2023 06 28 02	35.213
2023 06 28 03	35.213
2023 06 28 04	35.213
2023 06 28 05	35.213
2023 06 28 06	35.213
2023 06 28 07	35.213
2023 06 28 08	35.213
2023 06 28 09	35.213
2023 06 28 10	35.213
2023 06 28 11	35.213
2023 06 28 12	35.213
2023 06 28 13	35.213
2023 06 28 14	35.213
2023 06 28 15	35.213
2023 06 28 16	35.213
2023 06 28 17	35.213
2023 06 28 18	35.213
2023 06 28 19	35.213
2023 06 28 20	35.213
2023 06 28 21	35.213
2023 06 28 22	35.213
2023 06 28 23	35.213
2023 06 29 00	35.132
2023 06 29 01	35.132
2023 06 29 02	35.132
2023 06 29 03	35.132
2023 06 29 04	35.132
2023 06 29 05	35.132
2023 06 29 06	35.132
2023 06 29 07	35.132
2023 06 29 08	35.132
2023 06 29 09	35.132
2023 06 29 10	35.132
2023 06 29 11	35.132
2023 06 29 12	35.132
2023 06 29 13	35.132
2023 06 29 14	35.132
2023 06 29 15	35.132
2023 06 29 16	35.132
2023 06 29 17	35.132
2023 06 29 18	35.132
2023 06 29 19	35.132
2023 06 29 20	35.132
2023 06 29 21	35.132
2023 06 29 22	35.132
2023 06 29 23	35.132
2023 06 30 00	35.165
2023 06 30 01	35.165
