Valor nulo: -9999.9												
Fecha (GMT)	Altura Signif. del Oleaje(m)	Periodo Medio(s)	Periodo de Pico(s)	Direcc. Media de Proced.(0=N,90=E)	Mar de viento:  Altura signif. Espectral(m)	Mar de viento: Direcc. Media de Proced.(0=N,90=E)	Mar de fondo 1:  Altura signif. Espectral(m)	Mar de fondo 1:  Periodo Medio Espectral(s)	Mar de fondo 1: Direcc. Media de Proced.(0=N,90=E)	Mar de fondo 2:  Altura signif. Espectral(m)	Mar de fondo 2:  Periodo Medio Espectral(s)	Mar de fondo 2: Direcc. Media de Proced.(0=N,90=E)
2023 06 15 00	0.58	4.85	5.65	350	0.0	180	0.45	4.17	16	0.28	7.37	322
2023 06 15 01	0.57	4.85	7.52	347	0.0	180	0.43	4.11	16	0.27	7.29	323
2023 06 15 02	0.56	4.85	7.52	345	0.0	180	0.41	4.04	16	0.21	9.87	293
2023 06 15 03	0.55	4.85	10.01	343	0.0	180	0.4	3.98	15	0.4	16.85	293
2023 06 15 04	0.55	4.86	10.01	340	0.0	180	0.39	3.92	15	0.39	15.49	293
2023 06 15 05	0.54	4.87	10.01	338	0.0	180	0.37	3.86	15	0.37	14.27	293
2023 06 15 06	0.54	4.89	10.01	336	0.0	180	0.36	3.79	15	0.36	13.1	293
2023 06 15 07	0.53	4.86	10.01	334	0.01	75	0.35	3.72	15	0.35	12.05	293
2023 06 15 08	0.54	4.48	10.01	333	0.09	55	0.29	9.44	293	0.24	6.91	326
2023 06 15 09	0.56	3.6	10.01	336	0.2	50	0.3	9.33	292	0.24	6.87	327
2023 06 15 10	0.59	3.46	10.01	343	0.26	50	0.26	8.92	288	0.17	10.31	300
2023 06 15 11	0.63	3.34	10.01	349	0.31	51	0.27	8.88	289	0.17	10.32	300
2023 06 15 12	0.67	3.26	9.1	357	0.36	55	0.33	9.07	292	0.23	6.77	327
2023 06 15 13	0.72	3.21	9.1	4	0.44	54	0.33	9.02	292	0.23	6.73	328
2023 06 15 14	0.73	3.23	9.1	8	0.42	62	0.34	3.51	9	0.34	9.03	292
2023 06 15 15	0.75	3.24	9.1	12	0.47	59	0.34	8.91	292	0.32	3.7	10
2023 06 15 16	0.77	3.28	9.1	16	0.48	62	0.34	8.85	292	0.24	4.66	12
