Valor nulo: -9999.9	
Fecha (GMT)	Salinidad(psu)
2020 06 18 00	34.877
2020 06 18 01	34.877
2020 06 18 02	34.877
2020 06 18 03	34.877
2020 06 18 04	34.877
2020 06 18 05	34.877
2020 06 18 06	34.877
2020 06 18 07	34.877
2020 06 18 08	34.877
2020 06 18 09	34.877
2020 06 18 10	34.877
2020 06 18 11	34.877
2020 06 18 12	34.877
2020 06 18 13	34.877
2020 06 18 14	34.877
2020 06 18 15	34.877
2020 06 18 16	34.877
2020 06 18 17	34.877
2020 06 18 18	34.877
2020 06 18 19	34.877
2020 06 18 20	34.877
2020 06 18 21	34.877
2020 06 18 22	34.877
2020 06 18 23	34.877
2020 06 19 00	34.746
2020 06 19 01	34.746
2020 06 19 02	34.746
2020 06 19 03	34.746
2020 06 19 04	34.746
2020 06 19 05	34.746
2020 06 19 06	34.746
2020 06 19 07	34.746
2020 06 19 08	34.746
2020 06 19 09	34.746
2020 06 19 10	34.746
2020 06 19 11	34.746
2020 06 19 12	34.746
2020 06 19 13	34.746
2020 06 19 14	34.746
2020 06 19 15	34.746
2020 06 19 16	34.746
2020 06 19 17	34.746
2020 06 19 18	34.746
2020 06 19 19	34.746
2020 06 19 20	34.746
2020 06 19 21	34.746
2020 06 19 22	34.746
2020 06 19 23	34.746
2020 06 20 00	34.503
2020 06 20 01	34.503
2020 06 20 02	34.503
2020 06 20 03	34.503
2020 06 20 04	34.503
2020 06 20 05	34.503
2020 06 20 06	34.503
2020 06 20 07	34.503
2020 06 20 08	34.503
2020 06 20 09	34.503
2020 06 20 10	34.503
2020 06 20 11	34.503
2020 06 20 12	34.503
2020 06 20 13	34.503
2020 06 20 14	34.503
2020 06 20 15	34.503
2020 06 20 16	34.503
2020 06 20 17	34.503
2020 06 20 18	34.503
2020 06 20 19	34.503
2020 06 20 20	34.503
2020 06 20 21	34.503
2020 06 20 22	34.503
2020 06 20 23	34.503
2020 06 21 00	34.307
2020 06 21 01	34.307
2020 06 21 02	34.307
2020 06 21 03	34.307
2020 06 21 04	34.307
2020 06 21 05	34.307
2020 06 21 06	34.307
2020 06 21 07	34.307
2020 06 21 08	34.307
2020 06 21 09	34.307
2020 06 21 10	34.307
2020 06 21 11	34.307
2020 06 21 12	34.307
2020 06 21 13	34.307
2020 06 21 14	34.307
2020 06 21 15	34.307
2020 06 21 16	34.307
2020 06 21 17	34.307
2020 06 21 18	34.307
2020 06 21 19	34.307
2020 06 21 20	34.307
2020 06 21 21	34.307
2020 06 21 22	34.307
2020 06 21 23	34.307
2020 06 22 00	34.656
2020 06 22 01	34.656
2020 06 22 02	34.656
2020 06 22 03	34.656
2020 06 22 04	34.656
2020 06 22 05	34.656
2020 06 22 06	34.656
2020 06 22 07	34.656
2020 06 22 08	34.656
2020 06 22 09	34.656
2020 06 22 10	34.656
2020 06 22 11	34.656
2020 06 22 12	34.656
2020 06 22 13	34.656
