Valor nulo: -9999.9		
Fecha (GMT)	Velocidad media de Corriente(m/s)	Dir. de prop. de la Corriente (0=N,90=E)
2020 06 18 00	0.212	105.55
2020 06 18 01	0.206	100.62
2020 06 18 02	0.203	95.08
2020 06 18 03	0.206	90.01
2020 06 18 04	0.21	87.01
2020 06 18 05	0.215	87.88
2020 06 18 06	0.22	92.87
2020 06 18 07	0.226	100.42
2020 06 18 08	0.232	108.05
2020 06 18 09	0.232	114.14
2020 06 18 10	0.224	118.17
2020 06 18 11	0.206	119.93
2020 06 18 12	0.186	119.19
2020 06 18 13	0.173	116.73
2020 06 18 14	0.162	113.59
2020 06 18 15	0.151	110.13
2020 06 18 16	0.142	107.18
2020 06 18 17	0.139	107.14
2020 06 18 18	0.139	110.64
2020 06 18 19	0.142	115.81
2020 06 18 20	0.147	122.77
2020 06 18 21	0.156	128.71
2020 06 18 22	0.158	128.77
2020 06 18 23	0.152	127.23
2020 06 19 00	0.1	122.41
2020 06 19 01	0.089	117.43
2020 06 19 02	0.08	105.29
2020 06 19 03	0.081	87.93
2020 06 19 04	0.094	75.28
2020 06 19 05	0.111	72.76
2020 06 19 06	0.125	78.98
2020 06 19 07	0.136	89.56
2020 06 19 08	0.143	101.28
2020 06 19 09	0.15	111.77
2020 06 19 10	0.157	120.44
2020 06 19 11	0.156	126.43
2020 06 19 12	0.145	130.3
2020 06 19 13	0.128	134.43
2020 06 19 14	0.102	139.04
2020 06 19 15	0.065	144.42
2020 06 19 16	0.024	153.36
2020 06 19 17	0.014	321.13
2020 06 19 18	0.044	331.97
2020 06 19 19	0.058	337.22
2020 06 19 20	0.061	342.48
2020 06 19 21	0.059	350.72
2020 06 19 22	0.057	2.34
2020 06 19 23	0.064	14.72
2020 06 20 00	0.063	39.42
2020 06 20 01	0.079	51.26
2020 06 20 02	0.092	57.47
2020 06 20 03	0.101	61.31
2020 06 20 04	0.106	64.54
2020 06 20 05	0.105	68.93
2020 06 20 06	0.097	77.08
2020 06 20 07	0.089	97.81
2020 06 20 08	0.087	129.79
2020 06 20 09	0.104	159.65
2020 06 20 10	0.124	178.9
2020 06 20 11	0.129	192.4
2020 06 20 12	0.12	207.08
2020 06 20 13	0.118	224.88
2020 06 20 14	0.127	245.72
2020 06 20 15	0.142	266.65
2020 06 20 16	0.163	289.24
2020 06 20 17	0.188	311.52
2020 06 20 18	0.209	330.25
2020 06 20 19	0.206	343.97
2020 06 20 20	0.17	352.99
2020 06 20 21	0.114	359.16
2020 06 20 22	0.059	5.22
2020 06 20 23	0.023	23.18
2020 06 21 00	0.016	69.03
2020 06 21 01	0.02	61.79
2020 06 21 02	0.032	36.71
2020 06 21 03	0.048	23.17
2020 06 21 04	0.064	19.18
2020 06 21 05	0.071	16.32
2020 06 21 06	0.063	9.99
2020 06 21 07	0.038	4.49
2020 06 21 08	0.016	293.97
2020 06 21 09	0.044	240.2
2020 06 21 10	0.081	239.86
2020 06 21 11	0.112	247.5
2020 06 21 12	0.13	260.33
2020 06 21 13	0.143	276.8
2020 06 21 14	0.161	294.97
2020 06 21 15	0.179	311.38
2020 06 21 16	0.195	325.63
2020 06 21 17	0.195	338.95
2020 06 21 18	0.175	353.76
2020 06 21 19	0.134	12.52
2020 06 21 20	0.084	47.52
2020 06 21 21	0.081	111.75
2020 06 21 22	0.122	151.61
2020 06 21 23	0.16	174.11
2020 06 22 00	0.176	192.34
2020 06 22 01	0.176	212.41
2020 06 22 02	0.171	235.82
2020 06 22 03	0.167	258.81
2020 06 22 04	0.172	278.86
2020 06 22 05	0.201	296.03
2020 06 22 06	0.222	310.13
2020 06 22 07	0.226	320.63
2020 06 22 08	0.214	324.82
2020 06 22 09	0.186	321.51
2020 06 22 10	0.161	310.04
2020 06 22 11	0.158	295.04
2020 06 22 12	0.175	286.23
2020 06 22 13	0.203	285.97
2020 06 22 14	0.233	291.62
2020 06 22 15	0.265	299.53
2020 06 22 16	0.295	306.98
2020 06 22 17	0.312	312.48
2020 06 22 18	0.314	317.13
2020 06 22 19	0.303	321.11
2020 06 22 20	0.275	323.37
2020 06 22 21	0.235	321.87
2020 06 22 22	0.195	313.54
2020 06 22 23	0.177	300.91
2020 06 23 00	0.138	291.58
2020 06 23 01	0.142	285.88
2020 06 23 02	0.15	289.35
2020 06 23 03	0.161	298.87
2020 06 23 04	0.18	310.38
2020 06 23 05	0.197	319.18
2020 06 23 06	0.207	326.24
2020 06 23 07	0.2	331.86
2020 06 23 08	0.173	333.85
2020 06 23 09	0.133	328.62
2020 06 23 10	0.102	307.24
2020 06 23 11	0.111	278.71
2020 06 23 12	0.151	268.09
2020 06 23 13	0.192	270.6
2020 06 23 14	0.224	278.71
2020 06 23 15	0.252	289.22
2020 06 23 16	0.278	300.69
2020 06 23 17	0.303	311.21
2020 06 23 18	0.318	319.89
2020 06 23 19	0.314	328.04
2020 06 23 20	0.288	335.74
2020 06 23 21	0.234	343.08
2020 06 23 22	0.161	348.86
2020 06 23 23	0.085	351.16
2020 06 24 00	0.038	79.7
2020 06 24 01	0.063	156.71
2020 06 24 02	0.097	178.79
2020 06 24 03	0.108	195.56
2020 06 24 04	0.102	215.84
2020 06 24 05	0.093	239.01
2020 06 24 06	0.085	263.19
2020 06 24 07	0.081	273.34
2020 06 24 08	0.07	267.25
2020 06 24 09	0.062	244.82
2020 06 24 10	0.071	222.04
2020 06 24 11	0.098	218.35
2020 06 24 12	0.126	225.94
2020 06 24 13	0.143	234.98
2020 06 24 14	0.143	246.15
2020 06 24 15	0.132	260.94
2020 06 24 16	0.12	279.58
2020 06 24 17	0.116	298.36
2020 06 24 18	0.109	313.17
2020 06 24 19	0.089	328.28
2020 06 24 20	0.056	1.96
2020 06 24 21	0.057	80.82
2020 06 24 22	0.101	114.49
2020 06 24 23	0.13	130.32
2020 06 25 00	0.156	136.85
2020 06 25 01	0.149	148.16
2020 06 25 02	0.129	156.3
2020 06 25 03	0.103	162.07
2020 06 25 04	0.076	160.42
2020 06 25 05	0.055	150.18
2020 06 25 06	0.049	136.19
2020 06 25 07	0.061	134.55
2020 06 25 08	0.084	134.13
2020 06 25 09	0.103	130.37
2020 06 25 10	0.113	129.69
2020 06 25 11	0.11	133.6
2020 06 25 12	0.103	139.74
2020 06 25 13	0.103	145.27
2020 06 25 14	0.107	146.07
2020 06 25 15	0.111	141.26
2020 06 25 16	0.114	132.98
2020 06 25 17	0.121	127.07
2020 06 25 18	0.127	126.16
2020 06 25 19	0.125	126.69
2020 06 25 20	0.114	124.75
2020 06 25 21	0.101	118.46
2020 06 25 22	0.091	111.34
2020 06 25 23	0.089	107.72
2020 06 26 00	0.096	110.19
2020 06 26 01	0.108	116.83
2020 06 26 02	0.122	122.04
2020 06 26 03	0.132	123.98
2020 06 26 04	0.133	123.52
2020 06 26 05	0.13	122.32
2020 06 26 06	0.123	119.56
2020 06 26 07	0.113	115.11
2020 06 26 08	0.102	105.93
2020 06 26 09	0.098	95.96
2020 06 26 10	0.095	94.94
2020 06 26 11	0.09	100.9
2020 06 26 12	0.086	111.84
2020 06 26 13	0.083	126.74
2020 06 26 14	0.083	141.34
2020 06 26 15	0.077	154.11
2020 06 26 16	0.063	170.16
2020 06 26 17	0.041	201.22
2020 06 26 18	0.036	262.31
2020 06 26 19	0.058	310.3
2020 06 26 20	0.091	335.49
2020 06 26 21	0.12	354.38
2020 06 26 22	0.135	11.58
2020 06 26 23	0.137	32.33
2020 06 27 00	0.133	59.56
2020 06 27 01	0.133	87.08
2020 06 27 02	0.144	109.47
2020 06 27 03	0.157	124.11
2020 06 27 04	0.156	133.74
2020 06 27 05	0.142	143.37
2020 06 27 06	0.124	156.44
2020 06 27 07	0.107	172.67
2020 06 27 08	0.085	190.88
2020 06 27 09	0.058	214.56
2020 06 27 10	0.041	245.9
2020 06 27 11	0.035	271.59
2020 06 27 12	0.028	275.92
2020 06 27 13	0.019	241.76
2020 06 27 14	0.03	183.47
2020 06 27 15	0.053	161.46
2020 06 27 16	0.077	152.44
2020 06 27 17	0.097	147.98
2020 06 27 18	0.119	146.65
2020 06 27 19	0.14	148.22
2020 06 27 20	0.148	149.21
2020 06 27 21	0.128	145.59
2020 06 27 22	0.101	141.15
2020 06 27 23	0.071	139.15
2020 06 28 00	0.047	132.59
2020 06 28 01	0.043	115.94
2020 06 28 02	0.055	106.66
2020 06 28 03	0.077	107.14
2020 06 28 04	0.102	109.76
2020 06 28 05	0.122	110.47
2020 06 28 06	0.131	109.97
2020 06 28 07	0.129	111.73
2020 06 28 08	0.119	112.81
2020 06 28 09	0.099	108.93
2020 06 28 10	0.075	99.21
2020 06 28 11	0.058	84.17
2020 06 28 12	0.05	72.69
2020 06 28 13	0.042	74.99
2020 06 28 14	0.05	96.77
2020 06 28 15	0.085	114.69
2020 06 28 16	0.144	119.9
2020 06 28 17	0.209	120.35
2020 06 28 18	0.254	120.23
2020 06 28 19	0.28	121.39
2020 06 28 20	0.296	121.75
2020 06 28 21	0.292	121.58
2020 06 28 22	0.268	120.99
2020 06 28 23	0.23	118.6
2020 06 29 00	0.192	112.98
2020 06 29 01	0.17	105.3
2020 06 29 02	0.172	101.35
2020 06 29 03	0.192	105.95
2020 06 29 04	0.221	114.46
2020 06 29 05	0.247	121.96
2020 06 29 06	0.254	127.22
2020 06 29 07	0.237	130.11
2020 06 29 08	0.202	131.05
2020 06 29 09	0.156	129.34
2020 06 29 10	0.109	125.02
2020 06 29 11	0.07	111.81
2020 06 29 12	0.044	82.34
2020 06 29 13	0.043	48.12
2020 06 29 14	0.049	36.29
2020 06 29 15	0.05	42.87
2020 06 29 16	0.044	63.55
2020 06 29 17	0.041	94.1
2020 06 29 18	0.038	115.85
2020 06 29 19	0.025	115.58
2020 06 29 20	0.017	40.58
2020 06 29 21	0.049	7.14
2020 06 29 22	0.082	9.9
2020 06 29 23	0.108	15.03
2020 06 30 00	0.125	22.18
2020 06 30 01	0.13	29.07
2020 06 30 02	0.125	37.41
