Valor nulo: -9999.9												
Fecha (GMT)	Altura Signif. del Oleaje(m)	Periodo Medio(s)	Periodo de Pico(s)	Direcc. Media de Proced.(0=N,90=E)	Mar de viento:  Altura signif. Espectral(m)	Mar de viento: Direcc. Media de Proced.(0=N,90=E)	Mar de fondo 1:  Altura signif. Espectral(m)	Mar de fondo 1:  Periodo Medio Espectral(s)	Mar de fondo 1: Direcc. Media de Proced.(0=N,90=E)	Mar de fondo 2:  Altura signif. Espectral(m)	Mar de fondo 2:  Periodo Medio Espectral(s)	Mar de fondo 2: Direcc. Media de Proced.(0=N,90=E)
2020 06 18 00	0.78	4.92	6.21	333	0.0	180	0.75	4.75	331	0.21	13.74	356
2020 06 18 01	0.76	5.06	6.21	334	0.0	180	0.72	4.82	331	0.24	13.58	356
2020 06 18 02	0.74	5.16	6.21	334	0.0	180	0.69	4.84	331	0.27	13.45	355
2020 06 18 03	0.73	5.22	6.21	335	0.0	180	0.67	4.83	331	0.3	13.31	355
2020 06 18 04	0.73	5.28	13.32	336	0.0	180	0.64	4.73	331	0.64	25.96	355
2020 06 18 05	0.73	5.34	13.32	336	0.0	180	0.63	4.7	330	0.63	23.42	354
2020 06 18 06	0.73	5.4	13.32	337	0.0	180	0.61	4.67	330	0.61	21.01	354
2020 06 18 07	0.74	5.45	13.32	337	0.0	180	0.61	4.64	330	0.61	19.44	354
2020 06 18 08	0.74	5.41	13.32	338	0.0	180	0.6	4.54	330	0.6	18.1	353
2020 06 18 09	0.76	4.7	13.32	337	0.16	306	0.59	4.8	330	0.59	16.95	353
2020 06 18 10	0.79	4.39	12.11	336	0.22	304	0.6	4.7	330	0.6	16.48	352
2020 06 18 11	0.8	4.39	12.11	336	0.23	304	0.6	4.77	330	0.6	15.8	352
2020 06 18 12	0.8	4.67	12.11	337	0.0	180	0.63	3.82	328	0.63	15.94	352
2020 06 18 13	0.79	5.02	12.11	338	0.0	180	0.6	4.01	328	0.6	14.37	351
2020 06 18 14	0.78	5.33	12.11	339	0.0	180	0.58	4.19	329	0.58	13.45	351
2020 06 18 15	0.78	5.55	12.11	339	0.0	180	0.57	4.3	329	0.57	12.68	350
2020 06 18 16	0.79	5.69	12.11	340	0.0	180	0.54	11.59	350	0.46	4.82	339
2020 06 18 17	0.8	5.79	12.11	340	0.0	180	0.56	4.4	330	0.56	11.56	349
2020 06 18 18	0.8	5.87	12.11	340	0.0	180	0.58	11.13	348	0.55	4.36	331
2020 06 18 19	0.81	5.95	12.11	340	0.0	180	0.53	10.61	343	0.29	12.47	4
2020 06 18 20	0.83	6.04	11.01	340	0.0	180	0.56	10.33	342	0.28	12.43	4
2020 06 18 21	0.84	6.12	11.01	340	0.0	180	0.66	10.39	345	0.52	4.3	331
2020 06 18 22	0.85	6.2	11.01	340	0.0	180	0.68	10.1	344	0.51	4.24	331
2020 06 18 23	0.87	6.28	11.01	339	0.0	180	0.67	10.29	346	0.23	7.65	318
2020 06 19 00	0.88	6.35	11.01	339	0.0	180	0.73	9.7	342	0.48	4.17	331
2020 06 19 01	0.89	6.41	11.01	339	0.0	180	0.76	9.46	342	0.35	4.23	342
2020 06 19 02	0.89	6.47	11.01	338	0.0	180	0.78	9.18	341	0.32	4.05	346
