Valor nulo: -9999.9	
Fecha (GMT)	Temperatura del Agua(ºC)
2020 06 18 00	17.592
2020 06 18 01	17.56
2020 06 18 02	17.536
2020 06 18 03	17.52
2020 06 18 04	17.512
2020 06 18 05	17.504
2020 06 18 06	17.493
2020 06 18 07	17.475
2020 06 18 08	17.455
2020 06 18 09	17.459
2020 06 18 10	17.473
2020 06 18 11	17.479
2020 06 18 12	17.538
2020 06 18 13	17.642
2020 06 18 14	17.758
2020 06 18 15	17.895
2020 06 18 16	18.046
2020 06 18 17	18.206
2020 06 18 18	18.3
2020 06 18 19	18.319
2020 06 18 20	18.35
2020 06 18 21	18.316
2020 06 18 22	18.188
2020 06 18 23	18.086
2020 06 19 00	18.078
2020 06 19 01	17.995
2020 06 19 02	17.924
2020 06 19 03	17.874
2020 06 19 04	17.856
2020 06 19 05	17.881
2020 06 19 06	17.887
2020 06 19 07	17.854
2020 06 19 08	17.813
2020 06 19 09	17.794
2020 06 19 10	17.796
2020 06 19 11	17.791
2020 06 19 12	17.827
2020 06 19 13	17.896
2020 06 19 14	17.97
2020 06 19 15	18.081
2020 06 19 16	18.219
2020 06 19 17	18.345
2020 06 19 18	18.427
2020 06 19 19	18.471
2020 06 19 20	18.514
2020 06 19 21	18.488
2020 06 19 22	18.407
2020 06 19 23	18.336
2020 06 20 00	18.219
2020 06 20 01	18.139
2020 06 20 02	18.064
2020 06 20 03	17.994
2020 06 20 04	17.932
2020 06 20 05	17.883
2020 06 20 06	17.822
2020 06 20 07	17.756
2020 06 20 08	17.688
2020 06 20 09	17.73
2020 06 20 10	17.872
2020 06 20 11	17.974
2020 06 20 12	18.083
2020 06 20 13	18.238
2020 06 20 14	18.407
2020 06 20 15	18.605
2020 06 20 16	18.809
2020 06 20 17	18.988
2020 06 20 18	19.073
2020 06 20 19	19.101
2020 06 20 20	19.144
2020 06 20 21	19.091
2020 06 20 22	18.962
2020 06 20 23	18.849
2020 06 21 00	18.732
2020 06 21 01	18.618
2020 06 21 02	18.528
2020 06 21 03	18.462
2020 06 21 04	18.407
2020 06 21 05	18.353
2020 06 21 06	18.309
2020 06 21 07	18.277
2020 06 21 08	18.233
2020 06 21 09	18.267
2020 06 21 10	18.387
2020 06 21 11	18.473
2020 06 21 12	18.603
2020 06 21 13	18.809
2020 06 21 14	19.025
2020 06 21 15	19.257
2020 06 21 16	19.494
2020 06 21 17	19.715
2020 06 21 18	19.827
2020 06 21 19	19.832
2020 06 21 20	19.839
2020 06 21 21	19.795
2020 06 21 22	19.716
2020 06 21 23	19.66
2020 06 22 00	19.583
2020 06 22 01	19.463
2020 06 22 02	19.308
2020 06 22 03	19.09
2020 06 22 04	18.936
2020 06 22 05	18.942
2020 06 22 06	18.919
2020 06 22 07	18.881
2020 06 22 08	18.826
2020 06 22 09	18.776
2020 06 22 10	18.736
2020 06 22 11	18.693
2020 06 22 12	18.674
2020 06 22 13	18.663
2020 06 22 14	18.635
2020 06 22 15	18.633
2020 06 22 16	18.657
2020 06 22 17	18.677
2020 06 22 18	18.669
2020 06 22 19	18.655
2020 06 22 20	18.659
