datetime,wave_height,period
2020-06-18 00:00:00,0.78,4.92
2020-06-18 01:00:00,0.76,5.06
2020-06-18 02:00:00,0.74,5.16
2020-06-18 03:00:00,0.73,5.22
2020-06-18 04:00:00,0.73,5.28
2020-06-18 05:00:00,0.73,5.34
2020-06-18 06:00:00,0.73,5.4
2020-06-18 07:00:00,0.74,5.45
2020-06-18 08:00:00,0.74,5.41
2020-06-18 09:00:00,0.76,4.7
2020-06-18 10:00:00,0.79,4.39
2020-06-18 11:00:00,0.8,4.39
2020-06-18 12:00:00,0.8,4.67
2020-06-18 13:00:00,0.79,5.02
2020-06-18 14:00:00,0.78,5.33
2020-06-18 15:00:00,0.78,5.55
2020-06-18 16:00:00,0.79,5.69
2020-06-18 17:00:00,0.8,5.79
2020-06-18 18:00:00,0.8,5.87
2020-06-18 19:00:00,0.81,5.95
2020-06-18 20:00:00,0.83,6.04
2020-06-18 21:00:00,0.84,6.12
2020-06-18 22:00:00,0.85,6.2
2020-06-18 23:00:00,0.87,6.28
2020-06-19 00:00:00,0.88,6.35
2020-06-19 01:00:00,0.89,6.41
2020-06-19 02:00:00,0.89,6.47
2020-06-19 03:00:00,0.9,6.51
2020-06-19 04:00:00,0.9,6.54
2020-06-19 05:00:00,0.9,6.56
2020-06-19 06:00:00,0.89,6.57
2020-06-19 07:00:00,0.89,6.57
2020-06-19 08:00:00,0.88,6.57
2020-06-19 09:00:00,0.87,6.56
2020-06-19 10:00:00,0.86,6.5
2020-06-19 11:00:00,0.85,6.26
2020-06-19 12:00:00,0.85,6.02
2020-06-19 13:00:00,0.83,6.06
2020-06-19 14:00:00,0.82,6.1
2020-06-19 15:00:00,0.82,6.08
2020-06-19 16:00:00,0.81,6.04
2020-06-19 17:00:00,0.8,6.0
2020-06-19 18:00:00,0.79,5.98
2020-06-19 19:00:00,0.77,5.97
2020-06-19 20:00:00,0.76,5.97
2020-06-19 21:00:00,0.75,5.95
2020-06-19 22:00:00,0.73,5.93
2020-06-19 23:00:00,0.72,5.9
2020-06-20 00:00:00,0.7,5.86
2020-06-20 01:00:00,0.69,5.81
2020-06-20 02:00:00,0.67,5.74
2020-06-20 03:00:00,0.65,5.67
2020-06-20 04:00:00,0.64,5.59
2020-06-20 05:00:00,0.63,5.5
2020-06-20 06:00:00,0.62,5.43
2020-06-20 07:00:00,0.61,5.36
2020-06-20 08:00:00,0.6,5.31
2020-06-20 09:00:00,0.59,5.27
2020-06-20 10:00:00,0.58,5.23
2020-06-20 11:00:00,0.56,5.2
2020-06-20 12:00:00,0.55,5.16
2020-06-20 13:00:00,0.53,5.14
2020-06-20 14:00:00,0.51,5.12
2020-06-20 15:00:00,0.5,5.13
2020-06-20 16:00:00,0.49,5.17
2020-06-20 17:00:00,0.49,5.23
2020-06-20 18:00:00,0.49,5.32
2020-06-20 19:00:00,0.5,5.41
2020-06-20 20:00:00,0.51,5.47
2020-06-20 21:00:00,0.52,5.47
2020-06-20 22:00:00,0.54,5.43
2020-06-20 23:00:00,0.54,5.4
2020-06-21 00:00:00,0.55,5.38
2020-06-21 01:00:00,0.55,5.38
2020-06-21 02:00:00,0.55,5.38
2020-06-21 03:00:00,0.56,5.4
2020-06-21 04:00:00,0.57,5.42
2020-06-21 05:00:00,0.58,5.42
2020-06-21 06:00:00,0.57,5.42
2020-06-21 07:00:00,0.57,5.44
2020-06-21 08:00:00,0.57,5.49
2020-06-21 09:00:00,0.57,5.54
2020-06-21 10:00:00,0.57,5.62
2020-06-21 11:00:00,0.58,5.76
2020-06-21 12:00:00,0.62,5.95
2020-06-21 13:00:00,0.71,6.15
2020-06-21 14:00:00,0.81,6.43
2020-06-21 15:00:00,0.91,6.93
2020-06-21 16:00:00,0.97,7.46
2020-06-21 17:00:00,1.0,7.75
2020-06-21 18:00:00,1.02,7.84
2020-06-21 19:00:00,1.04,7.69
2020-06-21 20:00:00,1.06,7.32
2020-06-21 21:00:00,1.07,7.03
2020-06-21 22:00:00,1.06,6.97
2020-06-21 23:00:00,1.06,7.15
2020-06-22 00:00:00,1.09,7.54
2020-06-22 01:00:00,1.14,8.03
2020-06-22 02:00:00,1.17,8.48
2020-06-22 03:00:00,1.2,8.85
2020-06-22 04:00:00,1.21,9.15
2020-06-22 05:00:00,1.23,9.37
2020-06-22 06:00:00,1.24,9.4
2020-06-22 07:00:00,1.25,8.28
2020-06-22 08:00:00,1.28,7.39
2020-06-22 09:00:00,1.3,6.49
2020-06-22 10:00:00,1.35,5.61
2020-06-22 11:00:00,1.4,5.18
2020-06-22 12:00:00,1.46,4.97
2020-06-22 13:00:00,1.53,4.78
2020-06-22 14:00:00,1.62,4.73
2020-06-22 15:00:00,1.7,4.74
2020-06-22 16:00:00,1.77,4.78
2020-06-22 17:00:00,1.81,4.87
2020-06-22 18:00:00,1.81,4.98
2020-06-22 19:00:00,1.79,5.01
2020-06-22 20:00:00,1.8,5.01
2020-06-22 21:00:00,1.81,5.07
2020-06-22 22:00:00,1.75,5.14
2020-06-22 23:00:00,1.65,5.18
2020-06-23 00:00:00,1.55,5.24
2020-06-23 01:00:00,1.46,5.34
2020-06-23 02:00:00,1.39,5.38
2020-06-23 03:00:00,1.34,5.39
2020-06-23 04:00:00,1.32,5.37
2020-06-23 05:00:00,1.32,5.28
2020-06-23 06:00:00,1.33,5.2
2020-06-23 07:00:00,1.33,5.17
2020-06-23 08:00:00,1.34,4.97
2020-06-23 09:00:00,1.37,4.71
2020-06-23 10:00:00,1.38,4.56
2020-06-23 11:00:00,1.4,4.52
2020-06-23 12:00:00,1.39,4.55
2020-06-23 13:00:00,1.33,4.61
2020-06-23 14:00:00,1.29,4.57
2020-06-23 15:00:00,1.26,4.52
2020-06-23 16:00:00,1.22,4.58
2020-06-23 17:00:00,1.2,4.64
2020-06-23 18:00:00,1.19,4.7
2020-06-23 19:00:00,1.17,4.75
2020-06-23 20:00:00,1.14,4.79
2020-06-23 21:00:00,1.11,4.88
2020-06-23 22:00:00,1.07,5.08
2020-06-23 23:00:00,1.04,5.19
2020-06-24 00:00:00,1.02,5.25
2020-06-24 01:00:00,1.0,5.3
2020-06-24 02:00:00,0.98,5.36
2020-06-24 03:00:00,0.96,5.44
2020-06-24 04:00:00,0.95,5.52
2020-06-24 05:00:00,0.94,5.54
2020-06-24 06:00:00,0.94,5.01
2020-06-24 07:00:00,0.96,4.71
2020-06-24 08:00:00,0.99,4.43
2020-06-24 09:00:00,1.02,4.25
2020-06-24 10:00:00,1.07,4.1
2020-06-24 11:00:00,1.09,4.19
2020-06-24 12:00:00,1.1,4.47
2020-06-24 13:00:00,1.1,4.77
2020-06-24 14:00:00,1.12,5.04
2020-06-24 15:00:00,1.2,4.87
2020-06-24 16:00:00,1.24,5.05
2020-06-24 17:00:00,1.28,5.39
2020-06-24 18:00:00,1.29,5.95
2020-06-24 19:00:00,1.27,6.34
2020-06-24 20:00:00,1.29,6.34
2020-06-24 21:00:00,1.28,6.6
2020-06-24 22:00:00,1.27,6.82
2020-06-24 23:00:00,1.27,7.01
2020-06-25 00:00:00,1.26,7.45
2020-06-25 01:00:00,1.24,7.9
2020-06-25 02:00:00,1.23,7.92
2020-06-25 03:00:00,1.24,7.43
2020-06-25 04:00:00,1.23,7.07
2020-06-25 05:00:00,1.22,6.8
2020-06-25 06:00:00,1.23,6.12
2020-06-25 07:00:00,1.29,5.36
2020-06-25 08:00:00,1.3,5.28
2020-06-25 09:00:00,1.3,5.03
2020-06-25 10:00:00,1.31,4.83
2020-06-25 11:00:00,1.27,4.93
2020-06-25 12:00:00,1.25,4.8
2020-06-25 13:00:00,1.24,4.71
2020-06-25 14:00:00,1.28,4.45
2020-06-25 15:00:00,1.29,4.49
2020-06-25 16:00:00,1.31,4.55
2020-06-25 17:00:00,1.14,5.09
2020-06-25 18:00:00,1.08,5.32
2020-06-25 19:00:00,1.09,4.89
2020-06-25 20:00:00,1.11,4.63
2020-06-25 21:00:00,1.12,4.32
2020-06-25 22:00:00,1.09,4.48
2020-06-25 23:00:00,1.04,4.78
2020-06-26 00:00:00,1.01,4.94
2020-06-26 01:00:00,0.99,5.23
2020-06-26 02:00:00,0.96,5.42
2020-06-26 03:00:00,0.94,5.54
2020-06-26 04:00:00,0.92,5.62
2020-06-26 05:00:00,0.9,5.67
2020-06-26 06:00:00,0.89,5.7
2020-06-26 07:00:00,0.87,5.69
2020-06-26 08:00:00,0.86,5.69
2020-06-26 09:00:00,0.85,5.72
2020-06-26 10:00:00,0.84,5.76
2020-06-26 11:00:00,0.83,5.81
2020-06-26 12:00:00,0.81,5.85
2020-06-26 13:00:00,0.8,5.87
2020-06-26 14:00:00,0.79,5.88
2020-06-26 15:00:00,0.78,5.88
2020-06-26 16:00:00,0.77,5.85
2020-06-26 17:00:00,0.76,5.7
2020-06-26 18:00:00,0.75,4.97
2020-06-26 19:00:00,0.78,3.56
2020-06-26 20:00:00,0.77,3.77
2020-06-26 21:00:00,0.74,4.08
2020-06-26 22:00:00,0.7,4.28
2020-06-26 23:00:00,0.66,4.36
2020-06-27 00:00:00,0.63,4.41
2020-06-27 01:00:00,0.61,4.59
2020-06-27 02:00:00,0.65,4.95
2020-06-27 03:00:00,0.71,5.35
2020-06-27 04:00:00,0.73,5.59
2020-06-27 05:00:00,0.72,5.65
2020-06-27 06:00:00,0.69,5.64
2020-06-27 07:00:00,0.66,5.64
2020-06-27 08:00:00,0.67,5.73
2020-06-27 09:00:00,0.7,5.88
2020-06-27 10:00:00,0.72,5.98
2020-06-27 11:00:00,0.73,6.0
2020-06-27 12:00:00,0.74,5.72
2020-06-27 13:00:00,0.77,5.24
2020-06-27 14:00:00,0.79,5.45
2020-06-27 15:00:00,0.83,5.64
2020-06-27 16:00:00,0.84,5.7
2020-06-27 17:00:00,0.83,5.72
2020-06-27 18:00:00,0.83,5.73
2020-06-27 19:00:00,0.83,5.78
2020-06-27 20:00:00,0.83,5.88
2020-06-27 21:00:00,0.84,6.03
2020-06-27 22:00:00,0.86,6.19
2020-06-27 23:00:00,0.89,6.3
2020-06-28 00:00:00,0.9,6.32
2020-06-28 01:00:00,0.92,6.33
2020-06-28 02:00:00,0.91,6.29
2020-06-28 03:00:00,0.9,6.25
2020-06-28 04:00:00,0.89,6.19
2020-06-28 05:00:00,0.87,6.13
2020-06-28 06:00:00,0.85,6.09
2020-06-28 07:00:00,0.83,6.04
2020-06-28 08:00:00,0.81,6.0
2020-06-28 09:00:00,0.8,5.97
2020-06-28 10:00:00,0.78,5.93
2020-06-28 11:00:00,0.76,5.9
2020-06-28 12:00:00,0.74,5.88
