datetime,wave_height
2020-06-19,0.87
2020-06-20,0.9
2020-06-21,0.7
2020-06-22,1.07
2020-06-23,1.81
2020-06-24,1.55
2020-06-25,1.29
2020-06-26,1.31
2020-06-27,1.01
2020-06-28,0.89
2020-06-29,0.93
2020-06-30,1.2
2020-07-01,1.29
2020-07-02,1.08
2020-07-03,1.01
2020-07-04,0.83
2020-07-05,0.97
2020-07-06,1.1
2020-07-07,1.72
2020-07-08,1.68
2020-07-09,1.48
2020-07-10,0.86
2020-07-11,1.06
2020-07-12,1.49
2020-07-13,1.33
2020-07-14,0.97
2020-07-15,0.65
2020-07-16,0.86
2020-07-17,1.03
2020-07-18,1.23
2020-07-19,1.41
2020-07-20,1.08
2020-07-21,1.34
2020-07-22,1.27
2020-07-23,1.05
2020-07-24,0.85
2020-07-25,0.55
2020-07-26,0.5
2020-07-27,0.73
2020-07-28,0.79
2020-07-29,1.18
2020-07-30,1.18
2020-07-31,0.95
2020-08-01,0.79
2020-08-02,0.76
2020-08-03,0.92
2020-08-04,0.92
2020-08-05,1.09
2020-08-06,1.07
2020-08-07,0.89
2020-08-08,1.34
2020-08-09,0.99
2020-08-10,0.85
2020-08-11,0.89
2020-08-12,0.88
2020-08-13,1.6
2020-08-14,1.55
2020-08-15,0.72
2020-08-16,0.71
2020-08-17,1.08
2020-08-18,0.72
2020-08-19,0.49
2020-08-20,0.64
2020-08-21,1.01
2020-08-22,1.46
2020-08-23,1.52
2020-08-24,1.09
2020-08-25,1.01
2020-08-26,0.8648214285714285
2020-08-27,1.22
2020-08-28,1.08
2020-08-29,1.95
2020-08-30,2.03
2020-08-31,1.84
2020-09-01,0.96
2020-09-02,0.62
2020-09-03,0.92
2020-09-04,1.02
2020-09-05,1.06
2020-09-06,1.48
2020-09-07,1.45
2020-09-08,1.23
2020-09-09,1.59
2020-09-10,1.12
2020-09-11,0.95
2020-09-12,1.31
2020-09-13,1.67
2020-09-14,1.78
2020-09-15,1.48
2020-09-16,0.99
2020-09-17,0.69
2020-09-18,1.37
2020-09-19,1.02
2020-09-20,1.14
2020-09-21,1.1
2020-09-22,0.99
2020-09-23,0.99
2020-09-24,1.47
2020-09-25,3.6
2020-09-26,4.12
2020-09-27,2.93
2020-09-28,2.21
2020-09-29,1.26
2020-09-30,0.9
2020-10-01,1.25
2020-10-02,1.79
2020-10-03,4.21
2020-10-04,4.94
2020-10-05,3.23
2020-10-06,2.81
2020-10-07,2.24
2020-10-08,2.3
2020-10-09,1.45
2020-10-10,1.04
2020-10-11,1.24
2020-10-12,1.31
2020-10-13,1.31
2020-10-14,1.67
2020-10-15,1.86
2020-10-16,1.4
2020-10-17,0.91
2020-10-18,0.81
2020-10-19,0.91
2020-10-20,0.88
2020-10-21,0.83
2020-10-22,2.12
2020-10-23,2.11
2020-10-24,1.22
2020-10-25,1.49
2020-10-26,2.57
2020-10-27,2.75
2020-10-28,2.68
2020-10-29,3.91
2020-10-30,3.9
2020-10-31,2.45
2020-11-01,1.34
2020-11-02,1.63
2020-11-03,2.01
2020-11-04,2.02
2020-11-05,2.97
2020-11-06,3.14
2020-11-07,2.07
2020-11-08,1.36
2020-11-09,0.9
2020-11-10,0.95
2020-11-11,0.88
2020-11-12,1.35
2020-11-13,1.48
2020-11-14,1.9
2020-11-15,2.01
2020-11-16,2.43
2020-11-17,2.59
2020-11-18,1.73
2020-11-19,1.12
2020-11-20,1.74
2020-11-21,1.73
2020-11-22,2.06
2020-11-23,1.72
2020-11-24,1.43
2020-11-25,1.42
2020-11-26,1.63
2020-11-27,2.06
2020-11-28,1.65
2020-11-29,2.41
2020-11-30,2.26
2020-12-01,1.46
2020-12-02,1.25
2020-12-03,1.38
2020-12-04,4.88
2020-12-05,4.96
2020-12-06,4.8
2020-12-07,4.74
2020-12-08,5.57
2020-12-09,5.27
2020-12-10,1.95
2020-12-11,2.57
2020-12-12,3.42
2020-12-13,3.8
2020-12-14,2.05
2020-12-15,1.95
2020-12-16,1.54
2020-12-17,1.49
2020-12-18,1.44
2020-12-19,1.4
2020-12-20,2.16
2020-12-21,2.08
2020-12-22,1.49
2020-12-23,1.32
2020-12-24,2.26
2020-12-25,2.81
2020-12-26,2.61
2020-12-27,1.28
2020-12-28,6.24
2020-12-29,6.0
2020-12-30,5.26
2020-12-31,4.15
2021-01-01,2.02
2021-01-02,2.62
2021-01-03,2.39
2021-01-04,1.86
2021-01-05,1.9
2021-01-06,1.13
2021-01-07,0.92
2021-01-08,0.92
2021-01-09,0.91
2021-01-10,2.49
2021-01-11,2.47
2021-01-12,2.11
2021-01-13,1.18
2021-01-14,1.18
2021-01-15,1.26
2021-01-16,1.31
2021-01-17,1.3
2021-01-18,1.5
2021-01-19,1.45
2021-01-20,1.12
2021-01-21,1.32
2021-01-22,1.92
2021-01-23,2.36
2021-01-24,2.49
2021-01-25,2.06
2021-01-26,1.64
2021-01-27,1.34
2021-01-28,1.5254166666666666
2021-01-29,1.37
2021-01-30,1.38
2021-01-31,4.34
2021-02-01,4.24
2021-02-02,3.49
2021-02-03,2.27
2021-02-04,1.83
2021-02-05,1.2
2021-02-06,1.88
2021-02-07,1.98
2021-02-08,1.61
2021-02-09,1.65
2021-02-10,1.86
2021-02-11,2.45
2021-02-12,1.32
2021-02-13,1.7
2021-02-14,1.45
2021-02-15,1.34
2021-02-16,1.21
2021-02-17,1.36
2021-02-18,1.18
