Valor nulo: -9999.9		
Fecha (GMT)	Velocidad media de Corriente(m/s)	Dir. de prop. de la Corriente (0=N,90=E)
2023 06 15 00	0.133	9.46
2023 06 15 01	0.138	11.63
2023 06 15 02	0.14	14.43
2023 06 15 03	0.137	17.37
2023 06 15 04	0.128	20.55
2023 06 15 05	0.114	22.54
2023 06 15 06	0.096	23.9
2023 06 15 07	0.074	22.79
2023 06 15 08	0.056	16.5
2023 06 15 09	0.045	2.54
2023 06 15 10	0.044	349.69
2023 06 15 11	0.049	344.84
2023 06 15 12	0.06	343.66
2023 06 15 13	0.076	347.95
2023 06 15 14	0.095	353.99
2023 06 15 15	0.113	358.98
2023 06 15 16	0.123	3.25
2023 06 15 17	0.124	5.98
2023 06 15 18	0.118	8.26
2023 06 15 19	0.104	10.98
2023 06 15 20	0.092	12.52
2023 06 15 21	0.082	12.68
2023 06 15 22	0.076	12.04
2023 06 15 23	0.078	11.02
2023 06 16 00	0.081	9.92
2023 06 16 01	0.084	10.24
2023 06 16 02	0.086	10.66
2023 06 16 03	0.088	12.45
2023 06 16 04	0.087	14.51
2023 06 16 05	0.085	16.95
2023 06 16 06	0.079	18.43
2023 06 16 07	0.067	20.05
2023 06 16 08	0.054	20.43
2023 06 16 09	0.044	18.43
2023 06 16 10	0.038	11.88
2023 06 16 11	0.039	5.85
2023 06 16 12	0.046	1.24
2023 06 16 13	0.058	1.97
2023 06 16 14	0.073	4.69
2023 06 16 15	0.086	9.35
2023 06 16 16	0.097	14.17
2023 06 16 17	0.102	18.78
2023 06 16 18	0.098	23.96
2023 06 16 19	0.087	30.06
2023 06 16 20	0.071	39.28
2023 06 16 21	0.056	56.59
2023 06 16 22	0.05	77.34
2023 06 16 23	0.048	98.29
2023 06 17 00	0.053	118.0
2023 06 17 01	0.061	134.34
2023 06 17 02	0.066	145.35
2023 06 17 03	0.06	150.01
2023 06 17 04	0.042	145.56
2023 06 17 05	0.023	120.96
2023 06 17 06	0.02	67.16
2023 06 17 07	0.028	45.0
2023 06 17 08	0.032	38.65
2023 06 17 09	0.032	38.65
2023 06 17 10	0.029	40.81
2023 06 17 11	0.026	48.01
2023 06 17 12	0.024	55.0
2023 06 17 13	0.023	64.53
2023 06 17 14	0.023	67.75
2023 06 17 15	0.026	60.52
2023 06 17 16	0.034	46.16
2023 06 17 17	0.049	35.94
2023 06 17 18	0.063	30.19
2023 06 17 19	0.072	29.74
2023 06 17 20	0.073	29.35
2023 06 17 21	0.07	29.84
2023 06 17 22	0.066	27.71
2023 06 17 23	0.062	25.74
2023 06 18 00	0.058	23.07
2023 06 18 01	0.057	20.32
2023 06 18 02	0.059	18.74
2023 06 18 03	0.063	19.29
2023 06 18 04	0.069	19.21
2023 06 18 05	0.075	20.82
2023 06 18 06	0.078	22.34
2023 06 18 07	0.076	23.88
2023 06 18 08	0.068	26.93
2023 06 18 09	0.056	30.61
2023 06 18 10	0.045	33.34
2023 06 18 11	0.035	36.86
2023 06 18 12	0.027	37.69
2023 06 18 13	0.025	35.53
2023 06 18 14	0.031	26.56
2023 06 18 15	0.044	20.85
2023 06 18 16	0.063	19.29
2023 06 18 17	0.084	18.64
2023 06 18 18	0.101	18.97
2023 06 18 19	0.109	18.1
2023 06 18 20	0.112	19.24
2023 06 18 21	0.104	22.4
2023 06 18 22	0.093	24.08
2023 06 18 23	0.081	25.31
2023 06 19 00	0.074	26.22
2023 06 19 01	0.07	26.2
2023 06 19 02	0.067	27.32
2023 06 19 03	0.068	28.07
2023 06 19 04	0.072	27.97
2023 06 19 05	0.08	27.52
2023 06 19 06	0.089	26.56
2023 06 19 07	0.092	26.28
2023 06 19 08	0.09	26.84
2023 06 19 09	0.082	27.49
2023 06 19 10	0.071	29.44
