Valor nulo: -9999.9	
Fecha (GMT)	Temperatura del Agua(ºC)
2023 06 15 00	17.95
2023 06 15 01	17.867
2023 06 15 02	17.796
2023 06 15 03	17.733
2023 06 15 04	17.67
2023 06 15 05	17.611
2023 06 15 06	17.566
2023 06 15 07	17.558
2023 06 15 08	17.602
2023 06 15 09	17.684
2023 06 15 10	17.774
2023 06 15 11	17.842
2023 06 15 12	17.898
2023 06 15 13	17.945
2023 06 15 14	17.976
2023 06 15 15	17.975
2023 06 15 16	17.943
2023 06 15 17	17.888
2023 06 15 18	17.812
2023 06 15 19	17.729
2023 06 15 20	17.634
2023 06 15 21	17.536
2023 06 15 22	17.453
2023 06 15 23	17.384
2023 06 16 00	17.322
2023 06 16 01	17.265
2023 06 16 02	17.218
2023 06 16 03	17.18
2023 06 16 04	17.146
2023 06 16 05	17.117
2023 06 16 06	17.097
2023 06 16 07	17.095
2023 06 16 08	17.115
2023 06 16 09	17.161
2023 06 16 10	17.234
2023 06 16 11	17.317
2023 06 16 12	17.415
2023 06 16 13	17.552
2023 06 16 14	17.674
2023 06 16 15	17.742
2023 06 16 16	17.786
2023 06 16 17	17.801
2023 06 16 18	17.764
2023 06 16 19	17.696
2023 06 16 20	17.619
2023 06 16 21	17.551
2023 06 16 22	17.501
2023 06 16 23	17.465
2023 06 17 00	17.443
2023 06 17 01	17.437
2023 06 17 02	17.446
2023 06 17 03	17.464
2023 06 17 04	17.481
2023 06 17 05	17.49
2023 06 17 06	17.498
2023 06 17 07	17.509
2023 06 17 08	17.527
2023 06 17 09	17.577
2023 06 17 10	17.661
2023 06 17 11	17.776
2023 06 17 12	17.918
2023 06 17 13	18.058
2023 06 17 14	18.194
2023 06 17 15	18.307
2023 06 17 16	18.377
2023 06 17 17	18.419
2023 06 17 18	18.428
2023 06 17 19	18.383
2023 06 17 20	18.3
2023 06 17 21	18.207
2023 06 17 22	18.122
2023 06 17 23	18.056
2023 06 18 00	17.998
2023 06 18 01	17.953
2023 06 18 02	17.919
2023 06 18 03	17.883
2023 06 18 04	17.847
2023 06 18 05	17.807
2023 06 18 06	17.769
2023 06 18 07	17.752
2023 06 18 08	17.786
2023 06 18 09	17.879
2023 06 18 10	18.012
2023 06 18 11	18.145
2023 06 18 12	18.28
2023 06 18 13	18.433
2023 06 18 14	18.561
2023 06 18 15	18.604
2023 06 18 16	18.602
2023 06 18 17	18.591
2023 06 18 18	18.542
2023 06 18 19	18.45
2023 06 18 20	18.348
2023 06 18 21	18.253
2023 06 18 22	18.16
2023 06 18 23	18.079
2023 06 19 00	18.012
2023 06 19 01	17.959
2023 06 19 02	17.916
2023 06 19 03	17.877
2023 06 19 04	17.844
2023 06 19 05	17.813
2023 06 19 06	17.789
2023 06 19 07	17.776
2023 06 19 08	17.788
2023 06 19 09	17.817
2023 06 19 10	17.895
2023 06 19 11	18.044
2023 06 19 12	18.154
2023 06 19 13	18.21
2023 06 19 14	18.242
2023 06 19 15	18.263
2023 06 19 16	18.27
2023 06 19 17	18.259
2023 06 19 18	18.254
2023 06 19 19	18.214
2023 06 19 20	18.137
2023 06 19 21	18.066
2023 06 19 22	18.01
2023 06 19 23	17.967
2023 06 20 00	17.945
2023 06 20 01	17.936
2023 06 20 02	17.94
2023 06 20 03	17.948
2023 06 20 04	17.953
2023 06 20 05	17.954
2023 06 20 06	17.954
2023 06 20 07	17.952
2023 06 20 08	17.953
2023 06 20 09	17.971
2023 06 20 10	18.008
2023 06 20 11	18.083
2023 06 20 12	18.216
2023 06 20 13	18.374
2023 06 20 14	18.506
2023 06 20 15	18.59
2023 06 20 16	18.636
2023 06 20 17	18.65
2023 06 20 18	18.618
2023 06 20 19	18.541
2023 06 20 20	18.443
2023 06 20 21	18.34
2023 06 20 22	18.249
2023 06 20 23	18.174
2023 06 21 00	18.112
2023 06 21 01	18.064
2023 06 21 02	18.034
2023 06 21 03	18.005
2023 06 21 04	17.966
2023 06 21 05	17.925
2023 06 21 06	17.898
2023 06 21 07	17.896
2023 06 21 08	17.922
2023 06 21 09	17.97
2023 06 21 10	18.05
2023 06 21 11	18.17
2023 06 21 12	18.28
2023 06 21 13	18.318
2023 06 21 14	18.349
2023 06 21 15	18.376
2023 06 21 16	18.361
2023 06 21 17	18.351
2023 06 21 18	18.335
2023 06 21 19	18.291
2023 06 21 20	18.225
2023 06 21 21	18.161
2023 06 21 22	18.108
2023 06 21 23	18.056
2023 06 22 00	18.009
2023 06 22 01	17.987
2023 06 22 02	17.977
2023 06 22 03	17.964
2023 06 22 04	17.949
2023 06 22 05	17.93
2023 06 22 06	17.915
2023 06 22 07	17.918
2023 06 22 08	17.958
2023 06 22 09	18.043
2023 06 22 10	18.165
2023 06 22 11	18.308
2023 06 22 12	18.467
2023 06 22 13	18.632
2023 06 22 14	18.742
2023 06 22 15	18.8
2023 06 22 16	18.829
2023 06 22 17	18.811
2023 06 22 18	18.741
2023 06 22 19	18.623
2023 06 22 20	18.475
2023 06 22 21	18.327
2023 06 22 22	18.203
2023 06 22 23	18.104
2023 06 23 00	18.028
2023 06 23 01	17.97
2023 06 23 02	17.923
2023 06 23 03	17.882
2023 06 23 04	17.846
2023 06 23 05	17.812
2023 06 23 06	17.79
2023 06 23 07	17.799
2023 06 23 08	17.839
2023 06 23 09	17.896
2023 06 23 10	17.953
2023 06 23 11	18.021
2023 06 23 12	18.105
2023 06 23 13	18.186
2023 06 23 14	18.254
2023 06 23 15	18.292
2023 06 23 16	18.289
2023 06 23 17	18.264
2023 06 23 18	18.224
2023 06 23 19	18.155
2023 06 23 20	18.062
2023 06 23 21	17.965
2023 06 23 22	17.88
2023 06 23 23	17.809
2023 06 24 00	17.752
2023 06 24 01	17.712
2023 06 24 02	17.684
2023 06 24 03	17.663
2023 06 24 04	17.643
2023 06 24 05	17.621
2023 06 24 06	17.602
2023 06 24 07	17.599
2023 06 24 08	17.63
2023 06 24 09	17.705
2023 06 24 10	17.806
2023 06 24 11	17.907
2023 06 24 12	18.035
2023 06 24 13	18.182
2023 06 24 14	18.327
2023 06 24 15	18.47
2023 06 24 16	18.575
2023 06 24 17	18.624
2023 06 24 18	18.632
2023 06 24 19	18.592
2023 06 24 20	18.514
2023 06 24 21	18.432
2023 06 24 22	18.342
2023 06 24 23	18.28
2023 06 25 00	18.248
2023 06 25 01	18.243
2023 06 25 02	18.255
2023 06 25 03	18.266
2023 06 25 04	18.273
2023 06 25 05	18.275
2023 06 25 06	18.278
2023 06 25 07	18.284
2023 06 25 08	18.301
2023 06 25 09	18.351
2023 06 25 10	18.428
2023 06 25 11	18.515
2023 06 25 12	18.642
2023 06 25 13	18.8
2023 06 25 14	18.971
2023 06 25 15	19.125
2023 06 25 16	19.228
2023 06 25 17	19.272
2023 06 25 18	19.257
2023 06 25 19	19.189
2023 06 25 20	19.083
2023 06 25 21	18.962
2023 06 25 22	18.855
2023 06 25 23	18.776
2023 06 26 00	18.715
2023 06 26 01	18.662
2023 06 26 02	18.615
2023 06 26 03	18.585
2023 06 26 04	18.564
2023 06 26 05	18.543
2023 06 26 06	18.531
2023 06 26 07	18.537
2023 06 26 08	18.565
2023 06 26 09	18.612
2023 06 26 10	18.673
2023 06 26 11	18.746
2023 06 26 12	18.816
2023 06 26 13	18.851
2023 06 26 14	18.869
2023 06 26 15	18.903
2023 06 26 16	18.93
2023 06 26 17	18.935
2023 06 26 18	18.912
2023 06 26 19	18.855
2023 06 26 20	18.768
2023 06 26 21	18.658
2023 06 26 22	18.54
2023 06 26 23	18.433
2023 06 27 00	18.333
2023 06 27 01	18.237
2023 06 27 02	18.149
2023 06 27 03	18.074
2023 06 27 04	18.009
2023 06 27 05	17.946
2023 06 27 06	17.896
2023 06 27 07	17.865
2023 06 27 08	17.853
2023 06 27 09	17.852
2023 06 27 10	17.848
2023 06 27 11	17.838
2023 06 27 12	17.82
2023 06 27 13	17.78
2023 06 27 14	17.742
2023 06 27 15	17.735
2023 06 27 16	17.753
2023 06 27 17	17.79
2023 06 27 18	17.837
2023 06 27 19	17.867
2023 06 27 20	17.855
2023 06 27 21	17.807
2023 06 27 22	17.739
2023 06 27 23	17.658
2023 06 28 00	17.145
2023 06 28 01	17.077
2023 06 28 02	17.008
2023 06 28 03	16.947
2023 06 28 04	16.9
2023 06 28 05	16.868
2023 06 28 06	16.873
2023 06 28 07	16.937
2023 06 28 08	17.057
2023 06 28 09	17.216
2023 06 28 10	17.388
2023 06 28 11	17.556
2023 06 28 12	17.711
2023 06 28 13	17.842
2023 06 28 14	17.945
2023 06 28 15	18.03
2023 06 28 16	18.104
2023 06 28 17	18.173
2023 06 28 18	18.228
2023 06 28 19	18.247
2023 06 28 20	18.215
2023 06 28 21	18.155
