datetime,wave_height,period
2023-06-15 00:00:00,0.58,4.85
2023-06-15 01:00:00,0.57,4.85
2023-06-15 02:00:00,0.56,4.85
2023-06-15 03:00:00,0.55,4.85
2023-06-15 04:00:00,0.55,4.86
2023-06-15 05:00:00,0.54,4.87
2023-06-15 06:00:00,0.54,4.89
2023-06-15 07:00:00,0.53,4.86
2023-06-15 08:00:00,0.54,4.48
2023-06-15 09:00:00,0.56,3.6
2023-06-15 10:00:00,0.59,3.46
2023-06-15 11:00:00,0.63,3.34
2023-06-15 12:00:00,0.67,3.26
2023-06-15 13:00:00,0.72,3.21
2023-06-15 14:00:00,0.73,3.23
2023-06-15 15:00:00,0.75,3.24
2023-06-15 16:00:00,0.77,3.28
2023-06-15 17:00:00,0.77,3.33
2023-06-15 18:00:00,0.75,3.38
2023-06-15 19:00:00,0.73,3.43
2023-06-15 20:00:00,0.7,3.51
2023-06-15 21:00:00,0.69,3.56
2023-06-15 22:00:00,0.68,3.62
2023-06-15 23:00:00,0.66,3.69
2023-06-16 00:00:00,0.66,3.69
2023-06-16 01:00:00,0.67,3.68
2023-06-16 02:00:00,0.67,3.76
2023-06-16 03:00:00,0.67,3.85
2023-06-16 04:00:00,0.66,3.89
2023-06-16 05:00:00,0.67,3.87
2023-06-16 06:00:00,0.69,3.81
2023-06-16 07:00:00,0.72,3.73
2023-06-16 08:00:00,0.75,3.85
2023-06-16 09:00:00,0.78,3.94
2023-06-16 10:00:00,0.83,3.96
2023-06-16 11:00:00,0.87,3.92
2023-06-16 12:00:00,0.91,3.85
2023-06-16 13:00:00,0.96,3.9
2023-06-16 14:00:00,0.99,3.98
2023-06-16 15:00:00,0.99,4.1
2023-06-16 16:00:00,0.97,4.23
2023-06-16 17:00:00,0.95,4.38
2023-06-16 18:00:00,0.92,4.56
2023-06-16 19:00:00,0.89,4.81
2023-06-16 20:00:00,0.87,5.07
2023-06-16 21:00:00,0.85,5.34
2023-06-16 22:00:00,0.84,5.62
2023-06-16 23:00:00,0.83,5.85
2023-06-17 00:00:00,0.82,5.87
2023-06-17 01:00:00,0.83,5.11
2023-06-17 02:00:00,0.84,4.93
2023-06-17 03:00:00,0.85,4.67
2023-06-17 04:00:00,0.9,4.32
2023-06-17 05:00:00,0.99,4.13
2023-06-17 06:00:00,0.99,4.37
2023-06-17 07:00:00,0.95,4.64
2023-06-17 08:00:00,0.92,4.72
2023-06-17 09:00:00,0.9,4.79
2023-06-17 10:00:00,0.87,5.03
2023-06-17 11:00:00,0.84,5.29
2023-06-17 12:00:00,0.81,5.51
2023-06-17 13:00:00,0.79,5.72
2023-06-17 14:00:00,0.77,5.93
2023-06-17 15:00:00,0.75,6.12
2023-06-17 16:00:00,0.74,6.17
2023-06-17 17:00:00,0.74,6.05
2023-06-17 18:00:00,0.74,5.91
2023-06-17 19:00:00,0.75,5.71
2023-06-17 20:00:00,0.76,5.58
2023-06-17 21:00:00,0.76,5.55
2023-06-17 22:00:00,0.75,5.57
2023-06-17 23:00:00,0.74,5.61
2023-06-18 00:00:00,0.72,5.66
2023-06-18 01:00:00,0.71,5.71
2023-06-18 02:00:00,0.69,5.75
2023-06-18 03:00:00,0.68,5.78
2023-06-18 04:00:00,0.67,5.81
2023-06-18 05:00:00,0.65,5.84
2023-06-18 06:00:00,0.65,5.86
2023-06-18 07:00:00,0.64,5.88
2023-06-18 08:00:00,0.64,5.9
2023-06-18 09:00:00,0.64,5.92
2023-06-18 10:00:00,0.64,5.95
2023-06-18 11:00:00,0.65,5.99
2023-06-18 12:00:00,0.65,6.04
2023-06-18 13:00:00,0.66,6.08
2023-06-18 14:00:00,0.66,6.11
2023-06-18 15:00:00,0.66,6.07
2023-06-18 16:00:00,0.7,5.64
2023-06-18 17:00:00,0.79,5.14
2023-06-18 18:00:00,0.85,4.96
2023-06-18 19:00:00,0.85,4.92
2023-06-18 20:00:00,0.82,4.92
2023-06-18 21:00:00,0.78,4.93
2023-06-18 22:00:00,0.74,4.95
2023-06-18 23:00:00,0.7,4.99
2023-06-19 00:00:00,0.67,5.04
2023-06-19 01:00:00,0.65,5.09
2023-06-19 02:00:00,0.63,5.14
2023-06-19 03:00:00,0.62,5.18
2023-06-19 04:00:00,0.6,5.22
2023-06-19 05:00:00,0.59,5.25
2023-06-19 06:00:00,0.57,5.27
2023-06-19 07:00:00,0.56,5.29
2023-06-19 08:00:00,0.54,5.28
2023-06-19 09:00:00,0.53,5.27
2023-06-19 10:00:00,0.52,5.25
2023-06-19 11:00:00,0.5,5.26
2023-06-19 12:00:00,0.49,5.25
2023-06-19 13:00:00,0.49,5.15
2023-06-19 14:00:00,0.49,4.96
2023-06-19 15:00:00,0.49,4.82
2023-06-19 16:00:00,0.49,4.77
2023-06-19 17:00:00,0.49,4.72
2023-06-19 18:00:00,0.49,4.69
2023-06-19 19:00:00,0.49,4.67
2023-06-19 20:00:00,0.48,4.64
2023-06-19 21:00:00,0.47,4.61
2023-06-19 22:00:00,0.46,4.57
2023-06-19 23:00:00,0.46,4.49
2023-06-20 00:00:00,0.47,4.15
2023-06-20 01:00:00,0.51,3.62
2023-06-20 02:00:00,0.56,3.66
2023-06-20 03:00:00,0.6,3.62
2023-06-20 04:00:00,0.62,3.62
2023-06-20 05:00:00,0.61,3.59
2023-06-20 06:00:00,0.59,3.61
2023-06-20 07:00:00,0.57,3.53
2023-06-20 08:00:00,0.58,3.45
2023-06-20 09:00:00,0.55,3.52
2023-06-20 10:00:00,0.52,3.6
2023-06-20 11:00:00,0.48,3.65
2023-06-20 12:00:00,0.46,3.67
2023-06-20 13:00:00,0.44,3.69
2023-06-20 14:00:00,0.42,3.71
2023-06-20 15:00:00,0.4,3.74
2023-06-20 16:00:00,0.39,3.77
2023-06-20 17:00:00,0.4,3.81
2023-06-20 18:00:00,0.43,3.9
2023-06-20 19:00:00,0.48,4.0
2023-06-20 20:00:00,0.52,4.07
2023-06-20 21:00:00,0.54,4.11
2023-06-20 22:00:00,0.54,4.11
2023-06-20 23:00:00,0.53,4.13
2023-06-21 00:00:00,0.53,4.17
2023-06-21 01:00:00,0.53,4.24
2023-06-21 02:00:00,0.54,4.35
2023-06-21 03:00:00,0.55,4.46
2023-06-21 04:00:00,0.56,4.57
2023-06-21 05:00:00,0.56,4.63
2023-06-21 06:00:00,0.56,4.66
2023-06-21 07:00:00,0.54,4.68
2023-06-21 08:00:00,0.52,4.68
2023-06-21 09:00:00,0.51,4.69
2023-06-21 10:00:00,0.49,4.69
2023-06-21 11:00:00,0.48,4.71
2023-06-21 12:00:00,0.47,4.72
2023-06-21 13:00:00,0.46,4.71
2023-06-21 14:00:00,0.46,4.71
2023-06-21 15:00:00,0.45,4.7
2023-06-21 16:00:00,0.45,4.43
2023-06-21 17:00:00,0.46,3.96
2023-06-21 18:00:00,0.48,3.75
2023-06-21 19:00:00,0.49,3.75
2023-06-21 20:00:00,0.49,3.76
2023-06-21 21:00:00,0.48,3.83
2023-06-21 22:00:00,0.47,3.89
2023-06-21 23:00:00,0.47,3.95
2023-06-22 00:00:00,0.46,3.99
2023-06-22 01:00:00,0.45,4.03
2023-06-22 02:00:00,0.45,4.06
2023-06-22 03:00:00,0.44,4.08
2023-06-22 04:00:00,0.44,4.11
2023-06-22 05:00:00,0.43,4.14
2023-06-22 06:00:00,0.43,4.17
2023-06-22 07:00:00,0.43,4.16
2023-06-22 08:00:00,0.44,4.12
2023-06-22 09:00:00,0.44,4.1
2023-06-22 10:00:00,0.45,4.13
2023-06-22 11:00:00,0.46,4.19
2023-06-22 12:00:00,0.47,4.25
2023-06-22 13:00:00,0.47,4.29
